,cmi,m_index,i_index,similarity_between_L1_and_L1-L2,similarity_between_L2_and_L1-L2,similarity_between_L1_and_L2,coherence,naturalness,readability,L1-L2,lang1_replaced_parts,lang2_replaced_parts,L1,L2,tokens,lids
0,34.62,0.83,0.18,0.85,0.93,0.85,2,2,2,قد تكون إشارة من some massive network of communications ، أو إشارة من some shield against asteroidal impact ، أو some huge astro-engineering project that we can't even begin to conceive of ، والذي قد يُصدر إشارات at radio or optical frequencies والذي قد يفهمه a determined program of searching might detect.,[],[],قد تكون إشارة من نظام شبكة إتصالات معقدة ، أو إشارة من حقل مضاد للحماية من نيزك قادم ، أو مشروع هندسي فضائي ضخم قد لا نستطيع تصوره ، والذي قد يُصدر إشارات راديوية أو ترددات ضوئية والذي قد يفهمه برنامج بحث معين.,"It might be that some massive network of communications, or some shield against asteroidal impact, or some huge astro-engineering project that we can't even begin to conceive of, could generate signals at radio or optical frequencies that a determined program of searching might detect.","['قد', 'تكون', 'إشارة', 'من', 'some', 'massive', 'network', 'of', 'communications', '،', 'أو', 'إشارة', 'من', 'some', 'shield', 'against', 'asteroidal', 'impact', '،', 'أو', 'some', 'huge', 'astro-engineering', 'project', 'that', 'we', ""can't"", 'even', 'begin', 'to', 'conceive', 'of', '،', 'والذي', 'قد', 'يُصدر', 'إشارات', 'at', 'radio', 'or', 'optical', 'frequencies', 'والذي', 'قد', 'يفهمه', 'a', 'determined', 'program', 'of', 'searching', 'might', 'detect.']","['ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']"
1,42.11,0.95,0.17,0.87,0.92,0.81,2,2,2,"إنه تصميم خالي من الدهون بلا شك, and when you look at it, ترى human beings. Bless you.",[],[],إنه تصميم خالي من الدهون بلا شك وعندما تنظر إليه ترى أناس يباركوا لك,"It's an absolutely fat-free design, and when you look at it, you see human beings. Bless you.","['إنه', 'تصميم', 'خالي', 'من', 'الدهون', 'بلا', 'شك', ',', 'and', 'when', 'you', 'look', 'at', 'it,', 'ترى', 'human', 'beings.', 'Bless', 'you.']","['ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'eng', 'eng', 'eng', 'eng']"
2,36.84,0.87,0.27,0.94,0.91,0.88,2,2,2,"و نحن كوننا, the elite, parents, امناء المكتبات, professionals, أيا كان, a bunch of our activities are في الحقيقة in trying to get أفضل ما لدينا within reach of those من حولنا, or as broadly as we can.",[],[],"و نحن كوننا, النخبة, الآباء, امناء المكتبات, المحترفون, أيا كان, مجموعة من نشاطاتنا هي في الحقيقة محاولة جعل أفضل ما لدينا بمتناول أولئك الذين من حولنا أو أوسع شريحة ممكنة","And we, as now the elite, parents, librarians, professionals, whatever it is, a bunch of our activities are, in fact, in trying to get the best we have to offer within reach of those around us, or as broadly as we can.","['و', 'نحن', 'كوننا', ',', 'the', 'elite,', 'parents,', 'امناء', 'المكتبات', ',', 'professionals,', 'أيا', 'كان', ',', 'a', 'bunch', 'of', 'our', 'activities', 'are', 'في', 'الحقيقة', 'in', 'trying', 'to', 'get', 'أفضل', 'ما', 'لدينا', 'within', 'reach', 'of', 'those', 'من', 'حولنا', ',', 'or', 'as', 'broadly', 'as', 'we', 'can.']","['ara', 'ara', 'ara', 'other', 'eng', 'eng', 'eng', 'ara', 'ara', 'other', 'eng', 'ara', 'ara', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']"
3,41.03,0.94,0.12,0.98,0.9,0.9,3,3,3,"إذا كلف شخص ذكي جدا بكتابة موسوعة عن الحياة على كوكبنا، 27 من أصل 30 جزء ستخصص للبكتيريا والفيروسات، with just a few of the volumes left for النباتات والفطريات والحيوانات, humans being a footnote; مثيرة للاهتمام ولكنها في حاشية nonetheless.",[],[],إذا كلف شخص ذكي جدا بكتابة موسوعة عن الحياة على كوكبنا، 27 من أصل 30 جزء ستخصص للبكتيريا والفيروسات مع أجزاء قليلة فقط متبقية للنباتات والفطريات والحيوانات -- البشر في الحاشية -- حاشية مثيرة للاهتمام ولكنها مع ذلك في حاشية.,"If an intelligent extra-terrestrial was taxed with writing the encyclopedia of life on our planet, 27 out of 30 of these volumes would be devoted to bacteria and virus, with just a few of the volumes left for plants, fungus and animals, humans being a footnote; interesting footnote but a footnote nonetheless.","['إذا', 'كلف', 'شخص', 'ذكي', 'جدا', 'بكتابة', 'موسوعة', 'عن', 'الحياة', 'على', 'كوكبنا،', '27', 'من', 'أصل', '30', 'جزء', 'ستخصص', 'للبكتيريا', 'والفيروسات،', 'with', 'just', 'a', 'few', 'of', 'the', 'volumes', 'left', 'for', 'النباتات', 'والفطريات', 'والحيوانات', ',', 'humans', 'being', 'a', 'footnote', ';', 'مثيرة', 'للاهتمام', 'ولكنها', 'في', 'حاشية', 'nonetheless.']","['ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'other', 'ara', 'ara', 'other', 'ara', 'ara', 'ara', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'other', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng']"
4,40.91,0.94,0.14,0.96,0.9,0.88,2,2,2,ولكن في أغلب الأحيان يتحقق من خلال all those kind of crazy parts of human behavior التي حقيقة لا تشكل اي معنى.,[],[],ولكن في أغلب الأحيان يتحقق من خلال كل تلك الاصناف المجنونة المكونة للسلوك البشري والتي حقيقة لا تشكل اي معنى.,"But mostly, it's achieved through all those kind of crazy parts of human behavior that don't really make any sense.","['ولكن', 'في', 'أغلب', 'الأحيان', 'يتحقق', 'من', 'خلال', 'all', 'those', 'kind', 'of', 'crazy', 'parts', 'of', 'human', 'behavior', 'التي', 'حقيقة', 'لا', 'تشكل', 'اي', 'معنى', '.']","['ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'other']"
5,15.0,0.34,0.25,0.91,0.83,0.84,3,3,3,"إلى عصر الـdotcom ، ولا أحتاج إلى تذكيركم بتلك الفترة لأننا مررنا جميعا بفترة ""the bubble"" معا.",[],[],"إلى عصر الـدوت كوم ، ولا أحتاج إلى تذكيركم بتلك الفترة لأننا مررنا جميعا بفترة ""فقاعة الإنترنت"" معا.","We come into the era of the dotcom, the World Wide Web, and I don't need to tell you about that because we all went through that bubble together.","['إلى', 'عصر', 'الـ', 'dotcom', '،', 'ولا', 'أحتاج', 'إلى', 'تذكيركم', 'بتلك', 'الفترة', 'لأننا', 'مررنا', 'جميعا', 'بفترة', '""', 'the', 'bubble', '""', 'معا', '.']","['ara', 'ara', 'ara', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'ara', 'ara', 'other']"
6,45.71,0.99,0.15,0.89,0.86,0.8,3,3,2,والنقطة التي أريد الوصول إليها، هي are we ready to take the path لنحتفي بالأبطال العاديين، الذين ينتظرون the right situation to come along، ويدفعوا بالمخيلة البطولية إلى put heroic imagination into action?,[],[],والنقطة التي أريد الوصول إليها، هي هل نحن على استعداد لأخذ الطريق لنحتفي بالأبطال العاديين، الذين ينتظرون الظرف المناسب ليظهروا، ويدفعوا بالمخيلة البطولية إلى القيام بالأفعال؟,"The point is, are we ready to take the path to celebrating ordinary heroes, waiting for the right situation to come along to put heroic imagination into action?","['والنقطة', 'التي', 'أريد', 'الوصول', 'إليها،', 'هي', 'are', 'we', 'ready', 'to', 'take', 'the', 'path', 'لنحتفي', 'بالأبطال', 'العاديين،', 'الذين', 'ينتظرون', 'the', 'right', 'situation', 'to', 'come', 'along', '،', 'ويدفعوا', 'بالمخيلة', 'البطولية', 'إلى', 'put', 'heroic', 'imagination', 'into', 'action', '?']","['ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']"
7,45.0,0.98,0.16,0.92,0.97,0.88,3,3,2,بعض الناس يعتقدون ان السباحة is a very solo sport، انت فقط تغطس في البحر and off you go.,[],[],بعض الناس يعتقدون ان السباحة رياضة فردية، انت فقط تغطس في البحر.,"Some people think that swimming is a very solo sport, you just dive into the sea and off you go.","['بعض', 'الناس', 'يعتقدون', 'ان', 'السباحة', 'is', 'a', 'very', 'solo', 'sport', '،', 'انت', 'فقط', 'تغطس', 'في', 'البحر', 'and', 'off', 'you', 'go.']","['ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng']"
8,30.0,0.72,0.1,0.97,0.83,0.82,2,2,2,"لن اتوقف عن تناول اللحوم,وأنا على يقين من هذا لكنني أعتقد بأنه for the benefit of everyone علينا التوقف عن تربية الحيوانات لأهداف صناعية ,و stop eating them thoughtlessly.",[],[],"لن اتوقف عن تناول اللحوم,وأنا على يقين من هذا لكنني أعتقد بأنه من أجل تحقيق مصلحة الجميع علينا التوقف عن تربية الحيوانات لأهداف صناعية ,و أكلها بدون تفكير","I'll never stop eating animals, I'm sure, but I do think that for the benefit of everyone, the time has come to stop raising them industrially and stop eating them thoughtlessly.","['لن', 'اتوقف', 'عن', 'تناول', 'اللحوم', ',', 'وأنا', 'على', 'يقين', 'من', 'هذا', 'لكنني', 'أعتقد', 'بأنه', 'for', 'the', 'benefit', 'of', 'everyone', 'علينا', 'التوقف', 'عن', 'تربية', 'الحيوانات', 'لأهداف', 'صناعية', ',', 'و', 'stop', 'eating', 'them', 'thoughtlessly.']","['ara', 'ara', 'ara', 'ara', 'ara', 'other', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'other', 'ara', 'eng', 'eng', 'eng', 'eng']"
9,38.1,0.89,0.23,0.97,0.9,0.88,3,3,2,"أخذت the first 10,000 خرفان التي جمعتها، ووضعتها على موقع انترنت يسمى TheSheepMarket.com where you can actually buy مجموعة من 20 خروفا.",[],[],أخذت 10000 خرفان الأولى التي جمعتها، ووضعتها على موقع انترنت يسمى TheSheepMarket.com حيث يمكنك ان تشتري مجموعة من 20 خروفا.,"I took the first 10,000 sheep that I collected, and I put them on a website called TheSheepMarket.com where you can actually buy collections of 20 sheep.","['أخذت', 'the', 'first', '10,000', 'خرفان', 'التي', 'جمعتها،', 'ووضعتها', 'على', 'موقع', 'انترنت', 'يسمى', 'TheSheepMarket.com', 'where', 'you', 'can', 'actually', 'buy', 'مجموعة', 'من', '20', 'خروفا', '.']","['ara', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'other', 'ara', 'other']"
