,cmi,m_index,i_index,similarity_between_L1_and_L1-L2,similarity_between_L2_and_L1-L2,similarity_between_L1_and_L2,coherence,naturalness,readability,L1-L2,lang1_replaced_parts,lang2_replaced_parts,L1,L2,tokens,lids
0,47.37,0.99,0.28,0.95,0.92,0.86,2,2,2,"这绝对是一个无脂的design, and when you看着它, 你看到human beings. Bless you.",[],[],这绝对是一个无脂的设计，当你看着它时， 你看到人类。保佑你。,"It's an absolutely fat-free design, and when you look at it, you see human beings. Bless you.","['这', '绝对', '是', '一个', '无脂', '的', 'design,', 'and', 'when', 'you', '看着', '它', ',', '你', '看到', 'human', 'beings.', 'Bless', 'you.']","['chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'eng', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng']"
1,12.07,0.27,0.2,0.96,0.89,0.87,3,3,2,如果一个聪明的 extra-terrestrial 因在我们地球上编写生活的 encyclopedia 而被收税的话，27 out of 30 卷中会有27卷 讲述细菌和 virus，只有很少的几卷 讲述植物，fungus 和动物，人类的内容只是补充说明而已 这会是一个很有趣的 footnote，但是仅此而已。,[],[],如果一个聪明的天外来客 因在我们地球上编写生活的大百科全书而被收税的话， 30卷中会有27卷 讲述细菌和病毒， 只有很少的几卷 讲述植物，真菌和动物 人类的内容只是补充说明而已 这会是一个很有趣的脚注，但是仅此而已。,"If an intelligent extra-terrestrial was taxed with writing the encyclopedia of life on our planet, 27 out of 30 of these volumes would be devoted to bacteria and virus, with just a few of the volumes left for plants, fungus and animals, humans being a footnote; interesting footnote but a footnote nonetheless.","['如果', '一个', '聪明', '的', 'extra-terrestrial', '因在', '我们', '地球', '上', '编写', '生活', '的', 'encyclopedia', '而', '被', '收税', '的话', '，', '27', 'out', 'of', '30', '卷', '中会', '有', '27', '卷', '讲述', '细菌', '和', 'virus', '，', '只有', '很少', '的', '几卷', '讲述', '植物', '，', 'fungus', '和', '动物', '，', '人类', '的', '内容', '只是', '补充', '说明', '而已', '这会', '是', '一个', '很', '有趣', '的', 'footnote', '，', '但是', '仅此而已', '。']","['chi', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'other', 'eng', 'eng', 'other', 'chi', 'chi', 'chi', 'other', 'chi', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi']"
2,25.0,0.6,0.11,0.88,0.81,0.82,3,3,3,但大部分情况下，它是通过各种形式的 crazy parts of human behavior 来实现的。,[],[],但大部分情况下，它是通过各种形式的 毫无意义的人类行为 来实现的。,"But mostly, it's achieved through all those kind of crazy parts of human behavior that don't really make any sense.","['但', '大部分', '情况', '下', '，', '它', '是', '通过', '各种', '形式', '的', 'crazy', 'parts', 'of', 'human', 'behavior', '来', '实现', '的', '。']","['chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi']"
3,21.88,0.52,0.31,0.94,0.92,0.85,3,3,3,化学家Lee Cronin在研究一种能打印分子的3D打印机。一个exciting且很有潜力的long-term application：利用化学inks来打印你自己的medicine。,[],[],化学家李.克罗宁在研究一种能打印分子的3D打印机。一个令人兴奋且很有潜力的长期应用程式：利用化学链接来打印你自己的药物。,"Chemist Lee Cronin is working on a 3D printer that, instead of objects, is able to print molecules. An exciting potential long-term application: printing your own medicine using chemical inks.","['化学家', 'Lee', 'Cronin', '在', '研究', '一种', '能', '打印', '分子', '的', '3D', '打印机', '。', '一个', 'exciting', '且', '很', '有', '潜力', '的', 'long-term', 'application', '：', '利用', '化学', 'inks', '来', '打印', '你', '自己', '的', 'medicine', '。']","['chi', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'other', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'chi']"
4,38.89,0.91,0.21,0.9,0.82,0.82,2,2,2,"""马士基航运公司审视他们的 competition and saw that 船运业中所有人都认为：time is money.""",[],[],马士基航运公司审视他们的竞争者， 看到船运业中所有人都认为：时间就是金钱。,The Maersk Line looked at their competition and saw that everybody who is in shipping thinks time is money.,"['""', '马士基', '航运公司', '审视', '他们', '的', 'competition', 'and', 'saw', 'that', '船运', '业中', '所有人', '都', '认为', '：', 'time', 'is', 'money.', '""']","['other', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'other']"
5,27.78,0.67,0.18,0.87,0.95,0.81,3,3,3,"有人以为游泳 is a very solo sport, 你只要 dive into the sea and off you go.",[],[],有人以为游泳完全是个人运动项目， 你只要跳进海里游就好了。,"Some people think that swimming is a very solo sport, you just dive into the sea and off you go.","['有人', '以为', '游泳', 'is', 'a', 'very', 'solo', 'sport,', '你', '只要', 'dive', 'into', 'the', 'sea', 'and', 'off', 'you', 'go.']","['chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']"
6,21.88,0.52,0.1,0.97,0.9,0.88,3,2,2,我确信我以后并不会停止吃动物食品， 但是我想为了每个人的利益， 现在是时候停止 raising them industrially 并且 stop eating them thoughtlessly.,[],[],我确信我以后并不会停止吃动物食品， 但是我想为了每个人的利益， 现在是时候停止将动物产业化饲养 并且停止随意地食用它们。,"I'll never stop eating animals, I'm sure, but I do think that for the benefit of everyone, the time has come to stop raising them industrially and stop eating them thoughtlessly.","['我', '确信', '我', '以后', '并', '不会', '停止', '吃', '动物', '食品', '，', '但是', '我', '想', '为了', '每个', '人', '的', '利益', '，', '现在', '是', '时候', '停止', 'raising', 'them', 'industrially', '并且', 'stop', 'eating', 'them', 'thoughtlessly.']","['chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'chi', 'eng', 'eng', 'eng', 'eng']"
7,46.88,0.99,0.09,0.88,0.91,0.81,2,2,2,"结果是,将近一半的孩子, or about 1.8 million newborns around the world, 如果可以取暖的话就可以存活下 他们生命的 first three days, maybe the first week.",[],[],"结果是,将近一半的孩子,大约180万的新生儿, 如果可以取暖的话就可以存活下 他们生命的前三天,或者第一周","It turns out half of those kids, or about 1.8 million newborns around the world, would make it if you could just keep them warm for the first three days, maybe the first week.","['结果', '是', ',', '将近', '一半', '的', '孩子', ',', 'or', 'about', '1.8', 'million', 'newborns', 'around', 'the', 'world,', '如果', '可以', '取暖', '的话', '就', '可以', '存活', '下', '他们', '生命', '的', 'first', 'three', 'days,', 'maybe', 'the', 'first', 'week.']","['chi', 'chi', 'other', 'chi', 'chi', 'chi', 'chi', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']"
8,45.0,0.98,0.12,0.84,0.83,0.8,2,2,2,"""在这个界面中，我们离开了水， and one thing that's kind of important about this game is that, 在每一个级别中， the player is designing their creature, 这是很基本的。""",[],[],在这个界面中，我们离开了水， 这个游戏中很重要的一点是，在每一个级别中， 玩家可以自己设计生物的形态。 这是很基本的。,"Now at this point we're leaving the water, and one thing that's kind of important about this game is that, at every level, the player is designing their creature, and that's a fundamental aspect of this.","['""', '在', '这个', '界面', '中', '，', '我们', '离开', '了', '水', '，', 'and', 'one', 'thing', ""that's"", 'kind', 'of', 'important', 'about', 'this', 'game', 'is', 'that,', '在', '每', '一个', '级别', '中', '，', 'the', 'player', 'is', 'designing', 'their', 'creature,', '这', '是', '很', '基本', '的', '。', '""']","['other', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'other']"
9,34.29,0.82,0.15,0.96,0.89,0.86,2,2,2,"情况是有点不同 在于他们大概知道谁是带有敌意, where they've got someone shooting at them 或者其他的一些明显带有敌意的行动, throwing rocks, 任何东西.",[],[],情况是有点不同 在于他们大概知道谁是带有敌意 在于他们被射击 或者其他的一些明显带有敌意的行动，扔石头，任何东西,"Situation's a little bit different where perhaps they know someone who's hostile, where they've got someone shooting at them or doing something else that's clearly hostile, throwing rocks, whatever.","['情况', '是', '有点', '不同', '在于', '他们', '大概', '知道', '谁', '是', '带有', '敌意', ',', 'where', ""they've"", 'got', 'someone', 'shooting', 'at', 'them', '或者', '其他', '的', '一些', '明显', '带有', '敌意', '的', '行动', ',', 'throwing', 'rocks,', '任何', '东西', '.']","['chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'chi', 'chi', 'eng']"
