,cmi,m_index,i_index,similarity_between_L1_and_L1-L2,similarity_between_L2_and_L1-L2,similarity_between_L1_and_L2,coherence,naturalness,readability,L1-L2,lang1_replaced_parts,lang2_replaced_parts,L1,L2,tokens,lids
0,36.36,0.86,0.33,0.95,0.97,0.91,3,2,2,"Podría ser que alguna red masiva de communications, o algún shield against asteroidal impact, o algún gran proyecto de astro-engineering que we can't even begin to conceive of, podría generate signals at radio or optical frequencies que a determined program of searching podría detectar.","['comunicaciones', 'escudo contra impactos de asteroides', 'astro ingeniería', 'ni siquiera hayamos comenzado a concebir', 'enviar señales', 'un programa determinado de búsqueda']","['communications', 'shield against asteroidal impact', 'astro-engineering', ""we can't even begin to conceive of"", 'generate signals', 'a determined program of searching']","Podría ser que alguna red masiva de comunicaciones, o algún escudo contra impactos de asteroides, o algún gran proyecto de astro ingeniería que ni siquiera hayamos comenzado a concebir, podría enviar señales a frecuencias ópticas o de radio que un programa determinado de búsqueda podría detectar.","It might be that some massive network of communications, or some shield against asteroidal impact, or some huge astro-engineering project that we can't even begin to conceive of, could generate signals at radio or optical frequencies that a determined program of searching might detect.","['Podría', 'ser', 'que', 'alguna', 'red', 'masiva', 'de', 'communications,', 'o', 'algún', 'shield', 'against', 'asteroidal', 'impact,', 'o', 'algún', 'gran', 'proyecto', 'de', 'astro-engineering', 'que', 'we', ""can't"", 'even', 'begin', 'to', 'conceive', 'of,', 'podría', 'generate', 'signals', 'at', 'radio', 'or', 'optical', 'frequencies', 'que', 'a', 'determined', 'program', 'of', 'searching', 'podría', 'detectar.']","['spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'eng', 'eng', 'eng', 'spa', 'eng', 'eng', 'eng', 'eng', 'eng', 'spa', 'spa', 'spa', 'eng', 'eng', 'spa', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'spa', 'eng', 'eng', 'eng', 'spa', 'eng', 'eng', 'eng', 'spa', 'eng', 'eng', 'eng', 'eng', 'eng', 'spa', 'spa']"
1,46.15,0.99,0.33,0.94,0.94,0.89,2,2,2,"Si podemos show some of the video, podrán see it climbing la pared.","['mostrarle algo del video', 'verlo subir trepando']","['show some of the video', 'see it climbing']","Si podemos mostrarle algo del video, podrán verlo subir trepando la pared.","If we can show some of the video, you can see it climbing up the wall.","['Si', 'podemos', 'show', 'some', 'of', 'the', 'video,', 'podrán', 'see', 'it', 'climbing', 'la', 'pared.']","['spa', 'spa', 'eng', 'eng', 'eng', 'eng', 'spa', 'spa', 'eng', 'eng', 'eng', 'spa', 'spa']"
2,38.46,0.9,0.23,0.95,0.92,0.87,2,2,2,"Es un diseño absolutamente fat-free, y cuando lo observas, ves human beings. Bless you.","['libre de grasa', 'seres humanos', 'Salud']","['fat-free', 'human beings', 'Bless you']","Es un diseño absolutamente libre de grasa, y cuando lo observas, ves seres humanos. Salud.","It's an absolutely fat-free design, and when you look at it, you see human beings. Bless you.","['Es', 'un', 'diseño', 'absolutamente', 'fat-free,', 'y', 'cuando', 'lo', 'observas,', 'ves', 'human', 'beings.', 'Bless', 'you.']","['spa', 'spa', 'spa', 'spa', 'other', 'eng', 'spa', 'spa', 'spa', 'spa', 'eng', 'eng', 'eng', 'eng']"
3,47.06,0.99,0.36,0.92,0.87,0.9,2,2,2,"""Este es a more interesting one where se le mostraba a la gente half faces, luego se pedía add them into a list of más hermosos a menos hermosos and then exposing el rostro completo.""","['más interesante', 'mitades de rostros', 'añadirlos a una lista de', 'exponer el rostro completo']","['more interesting one', 'half faces', 'add them into a list of', 'exposing a full face']","Este es más interesante; se le mostraba a la gente mitades de rostros, luego se pedía añadirlos a una lista de más hermosos a menos hermosos y luego exponer el rostro completo.","This is a more interesting one where half faces were shown to some people, and then to add them into a list of most beautiful to least beautiful and then exposing a full face.","['""', 'Este', 'es', 'a', 'more', 'interesting', 'one', 'where', 'se', 'le', 'mostraba', 'a', 'la', 'gente', 'half', 'faces,', 'luego', 'se', 'pedía', 'add', 'them', 'into', 'a', 'list', 'of', 'más', 'hermosos', 'a', 'menos', 'hermosos', 'and', 'then', 'exposing', 'el', 'rostro', 'completo.', '""']","['other', 'spa', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'spa', 'spa', 'spa', 'eng', 'spa', 'spa', 'eng', 'other', 'spa', 'spa', 'spa', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'spa', 'spa', 'eng', 'spa', 'spa', 'eng', 'eng', 'eng', 'spa', 'spa', 'spa', 'other']"
4,41.38,0.94,0.27,0.95,0.89,0.92,3,3,3,"""Y nosotros, siendo ahora la élite, parents, bibliotecarios, professionals, whatever it is, podemos tratar de ofrecer lo mejor a aquellos que nos rodean, or as broadly as we can.""","['padres', 'profesionales', 'desde cualquiera de las posibles actividades que ocupemos', 'o a tantos como podamos']","['parents', 'professionals', 'whatever it is', 'or as broadly as we can']","Y nosotros, siendo ahora la élite, padres, bibliotecarios, profesionales, desde cualquiera de las posibles actividades que ocupemos, podemos tratar de ofrecer lo mejor a aquellos que nos rodean, o a tantos como podamos.","And we, as now the elite, parents, librarians, professionals, whatever it is, a bunch of our activities are, in fact, in trying to get the best we have to offer within reach of those around us, or as broadly as we can.","['""', 'Y', 'nosotros,', 'siendo', 'ahora', 'la', 'élite,', 'parents,', 'bibliotecarios,', 'professionals,', 'whatever', 'it', 'is,', 'podemos', 'tratar', 'de', 'ofrecer', 'lo', 'mejor', 'a', 'aquellos', 'que', 'nos', 'rodean,', 'or', 'as', 'broadly', 'as', 'we', 'can.', '""']","['other', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'eng', 'spa', 'eng', 'eng', 'eng', 'eng', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'eng', 'spa', 'spa', 'spa', 'spa', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'other']"
5,38.1,0.89,0.25,0.94,0.95,0.9,3,3,2,"Pero también estaban frustrados con the bikes that your dad rode, que tenían big handlebars like that y eran too heavy.","['las bicis de sus papás', 'manubrios grandes', 'muy pesadas']","['the bikes that your dad rode', 'big handlebars like that', 'too heavy']","Pero también estaban frustrados con las bicis de sus papás, que tenían manubrios grandes y eran muy pesadas.","But also frustrated with the bikes that your dad rode, which sort of had big handlebars like that, and they were too heavy.","['Pero', 'también', 'estaban', 'frustrados', 'con', 'the', 'bikes', 'that', 'your', 'dad', 'rode,', 'que', 'tenían', 'big', 'handlebars', 'like', 'that', 'y', 'eran', 'too', 'heavy.']","['spa', 'spa', 'spa', 'spa', 'spa', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'spa', 'spa', 'eng', 'eng', 'eng', 'eng', 'eng', 'spa', 'eng', 'eng']"
6,43.75,0.97,0.3,0.99,0.93,0.91,3,3,3,"Si un intelligent extra-terrestrial se encargara de escribir la encyclopedia of life en nuestro planeta, 27 de los 30 volúmenes estarían dedicados a bacteria and virus, dejando sólo unos pocos libros para plants, fungus y animals, los humanos serían a footnote; interesante, pero al fin y al cabo una footnote.","['extraterrestre inteligente', 'enciclopedia de la vida', 'bacterias y virus', 'plantas, hongos', 'una nota al pie', 'interesante, pero al fin y al cabo una nota al pie']","['intelligent extra-terrestrial', 'encyclopedia of life', 'bacteria and virus', 'plants, fungus', 'a footnote', 'interesante, pero al fin y al cabo una footnote']","Si un extraterrestre inteligente se encargara de escribir la enciclopedia de la vida en nuestro planeta, 27 de los 30 volúmenes estarían dedicados a bacterias y virus, dejando sólo unos pocos libros para plantas, hongos y animales, los humanos serían una nota al pie, interesante, pero al fin y al cabo una nota al pie.","If an intelligent extra-terrestrial was taxed with writing the encyclopedia of life on our planet, 27 out of 30 of these volumes would be devoted to bacteria and virus, with just a few of the volumes left for plants, fungus and animals, humans being a footnote; interesting footnote but a footnote nonetheless.","['Si', 'un', 'intelligent', 'extra-terrestrial', 'se', 'encargara', 'de', 'escribir', 'la', 'encyclopedia', 'of', 'life', 'en', 'nuestro', 'planeta,', '27', 'de', 'los', '30', 'volúmenes', 'estarían', 'dedicados', 'a', 'bacteria', 'and', 'virus,', 'dejando', 'sólo', 'unos', 'pocos', 'libros', 'para', 'plants,', 'fungus', 'y', 'animals,', 'los', 'humanos', 'serían', 'a', 'footnote', ';', 'interesante,', 'pero', 'al', 'fin', 'y', 'al', 'cabo', 'una', 'footnote.']","['spa', 'eng', 'eng', 'eng', 'spa', 'spa', 'spa', 'spa', 'eng', 'eng', 'eng', 'eng', 'eng', 'spa', 'spa', 'other', 'spa', 'spa', 'other', 'spa', 'spa', 'spa', 'eng', 'eng', 'eng', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'eng', 'eng', 'eng', 'eng', 'spa', 'spa', 'spa', 'eng', 'eng', 'eng', 'spa', 'spa', 'eng', 'spa', 'eng', 'eng', 'spa', 'spa', 'other']"
7,38.1,0.89,0.25,0.87,0.94,0.81,2,2,2,"Pero mostly, se logra through all those kind of crazy áreas de la conducta humana que don't really make any sense.","['primordialmente', 'por medio de', 'esas áreas de la conducta humana un tanto disparatadas', 'realmente no tienen']","['mostly', 'through', 'all those kind of crazy partes of human behavior', ""don't really make""]","Pero primordialmente, se logra por medio de esas áreas de la conducta humana un tanto disparatadas que realmente no tienen mucho sentido.","But mostly, it's achieved through all those kind of crazy parts of human behavior that don't really make any sense.","['Pero', 'mostly,', 'se', 'logra', 'through', 'all', 'those', 'kind', 'of', 'crazy', 'áreas', 'de', 'la', 'conducta', 'humana', 'que', ""don't"", 'really', 'make', 'any', 'sense.']","['spa', 'eng', 'eng', 'spa', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'eng', 'eng', 'eng', 'eng', 'eng']"
8,34.62,0.83,0.27,0.93,0.94,0.91,3,3,2,"Esta es mi favorite civil defense slide, y -- I don't want to be indiscreto, pero this -- he's no longer in charge. No nos importa, OK.","['diapositiva favorita', 'No quiero ser', 'ya no está al cargo', 'vale']","['favorite civil defense slide', ""I don't want to be"", ""he's no longer in charge"", 'OK']","Esta es mi diapositiva favorita de Defensa Civil... No quiero ser indiscreto, pero... bueno... ya no está al cargo. No nos importa, vale.","Now, this is my favorite civil defense slide, and I -- -- I don't want to be indelicate, but this -- he's no longer in office. We don't really care, OK.","['Esta', 'es', 'mi', 'favorite', 'civil', 'defense', 'slide,', 'y', '--', 'I', ""don't"", 'want', 'to', 'be', 'indiscreto,', 'pero', 'this', '--', ""he's"", 'no', 'longer', 'in', 'charge.', 'No', 'nos', 'importa,', 'OK.']","['spa', 'spa', 'spa', 'eng', 'eng', 'eng', 'eng', 'spa', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'spa', 'spa', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'other', 'spa', 'spa', 'spa', 'eng']"
9,22.73,0.54,0.32,0.96,0.94,0.92,3,3,3,"Entramos en la era de las dotcom, la World Wide Web, y no necesito hablarles sobre eso porque todos atravesamos juntos esa bubble.","['""punto com""', 'world wide web', 'burbuja']","['dotcom', 'World Wide Web', 'bubble']","Entramos en la era de las ""punto com"", la world wide web, y no necesito hablarles sobre eso porque todos atravesamos juntos esa burbuja.","We come into the era of the dotcom, the World Wide Web, and I don't need to tell you about that because we all went through that bubble together.","['Entramos', 'en', 'la', 'era', 'de', 'las', 'dotcom,', 'la', 'World', 'Wide', 'Web,', 'y', 'no', 'necesito', 'hablarles', 'sobre', 'eso', 'porque', 'todos', 'atravesamos', 'juntos', 'esa', 'bubble.']","['spa', 'spa', 'spa', 'spa', 'eng', 'spa', 'eng', 'spa', 'eng', 'eng', 'eng', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'other']"
