,id,cmi,m_index,i_index,similarity_between_L1_and_L1-L2,similarity_between_L2_and_L1-L2,similarity_between_L1_and_L2,coherence,naturalness,readability,L1-L2,lang1_replaced_parts,lang2_replaced_parts,L1,L2,answer,tokens,lids
0,marketing/test/55,21.74,0.52,0.15,0.98,0.94,0.93,3,3,3,"__________ is very effective في إيصال الرسائل للجمهور المستهدف حيث يتيح الشرح بطريقة لا توفرها وسائط أخرى كثيرة.
(A): Digital.
(B): Print.
(C): الإذاعة والتلفزة.
(D): الإعلانات الخارجية.",[],[],"__________ فعّال جدا في إيصال الرسائل للجمهور المستهدف حيث يتيح الشرح بطريقة لا توفرها وسائط أخرى كثيرة.
(A): الرقميّة.
(B): الطباعية.
(C): الإذاعة والتلفزة.
(D): الإعلانات الخارجية.","____________ is very effective at delivering messages to target audiences as it allows for explanation in a way that most other media cannot.
(A): Digital.
(B): Print.
(C): Broadcast.
(D): Outdoor.",B,"['__________', 'is', 'very', 'effective', 'في', 'إيصال', 'الرسائل', 'للجمهور', 'المستهدف', 'حيث', 'يتيح', 'الشرح', 'بطريقة', 'لا', 'توفرها', 'وسائط', 'أخرى', 'كثيرة', '.', 'Digital.', 'Print.', 'الإذاعة', 'والتلفزة', '.', 'الإعلانات', 'الخارجية', '.']","['other', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'other', 'eng', 'eng', 'ara', 'ara', 'other', 'ara', 'ara', 'other']"
1,high_school_psychology/test/403,34.78,0.83,0.18,0.96,0.93,0.91,3,2,2,"أظهرت الأبحاث وجود ارتباط محتمل بين الناقل العصبي الأسيتيل كولين وأي من the following mental disorders?
(A): مرض باركنسون
(B): Alzheimer's disease
(C): Schizophrenia
(D): الهذيان",[],[],"أظهرت الأبحاث وجود ارتباط محتمل بين الناقل العصبي الأسيتيل كولين وأي من الأمراض العقلية التالية؟
(A): مرض باركنسون
(B): مرض الزهايمر
(C): فصام
(D): الهذيان","Research has shown a possible connection between the neurotransmitter acetylcholine and which of the following mental disorders?
(A): Parkinson's disease
(B): Alzheimer's disease
(C): Schizophrenia
(D): Mania",B,"['أظهرت', 'الأبحاث', 'وجود', 'ارتباط', 'محتمل', 'بين', 'الناقل', 'العصبي', 'الأسيتيل', 'كولين', 'وأي', 'من', 'the', 'following', 'mental', 'disorders', '?', 'مرض', 'باركنسون', ""Alzheimer's"", 'disease', 'Schizophrenia', 'الهذيان']","['ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'eng', 'eng', 'eng', 'ara']"
2,high_school_biology/test/49,38.71,0.9,0.1,0.95,0.96,0.92,2,2,2,"أيٌ من العوامل الحية التالية يُمكن أن تؤثر على growth rate of a population?
(A): Volcanic eruption
(B): Glacier melting
(C): Destruction of the ozone layer
(D): التقليل المفاجئ في the animal food resource",[],[],"أيٌ من العوامل الحية التالية يُمكن أن تؤثر على معدل نمو السكان؟
(A): ثوران بركاني
(B): انصهار الجليد
(C): تدمير طبقة الأوزون
(D): التقليل المفاجئ في مصدر الطعام الحيواني","Which of the following is a biotic factor that could affect the growth rate of a population?
(A): Volcanic eruption
(B): Glacier melting
(C): Destruction of the ozone layer
(D): Sudden reduction in the animal food resource",C,"['أيٌ', 'من', 'العوامل', 'الحية', 'التالية', 'يُمكن', 'أن', 'تؤثر', 'على', 'growth', 'rate', 'of', 'a', 'population', '?', 'Volcanic', 'eruption', 'Glacier', 'melting', 'Destruction', 'of', 'the', 'ozone', 'layer', 'التقليل', 'المفاجئ', 'في', 'the', 'animal', 'food', 'resource']","['ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng']"
3,nutrition/test/108,36.11,0.86,0.11,0.97,0.96,0.94,3,3,3,"من فئات الأحماض الدهنية الغذائية التي لها أكثر تأثير إيجابي على مستويات الكولسترول LDL في البلازما؟
(A): n-3 and n-6 polyunsaturated fatty acids
(B): Saturated and trans unsaturated fatty acids
(C): Monounsaturated fatty acids
(D): الخيار أ و الخيار ج",[],[],"من فئات الأحماض الدهنية الغذائية التي لها أكثر تأثير إيجابي على مستويات الكولسترول LDL في البلازما؟
(A): الأحماض الدهنية متعددة غير المشبعة n-3 وn-6
(B): الأحماض الدهنية المشبعة والأحماض الدهنية شبه المشبعة
(C): الأحماض الدهنية غير المشبعة المفردة
(D): الخيار أ و الخيار ج","Of the classes of dietary fatty acids which have the most beneficial effect on plasma LDL cholesterol levels?

(A): n-3 and n-6 polyunsaturated fatty acids
(B): Saturated and trans unsaturated fatty acids
(C): Monounsaturated fatty acids
(D): Both a and c",D,"['من', 'فئات', 'الأحماض', 'الدهنية', 'الغذائية', 'التي', 'لها', 'أكثر', 'تأثير', 'إيجابي', 'على', 'مستويات', 'الكولسترول', 'LDL', 'في', 'البلازما؟', 'n-3', 'and', 'n-6', 'polyunsaturated', 'fatty', 'acids', 'Saturated', 'and', 'trans', 'unsaturated', 'fatty', 'acids', 'Monounsaturated', 'fatty', 'acids', 'الخيار', 'أ', 'و', 'الخيار', 'ج']","['ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara']"
4,machine_learning/test/67,34.21,0.82,0.28,0.93,0.96,0.92,2,2,2,"بيان ١| Traditional machine learning results assume that the train and test sets are independent and identically distributed. بيان ٢| في عام ٢٠١٧، COCO models were usually pretrained on ImageNet.
(A): صحيح، True
(B): خطأ، False
(C): صحيح، False
(D): خطأ، True",[],[],"بيان ١| يفترض نتائج التعلم الآلي التقليدي أن مجموعة التدريب ومجموعة الاختبار مستقلة وموزونة بنفس الطريقة. بيان ٢| في عام ٢٠١٧، كانت النماذج COCO في العادة مدرَّبة مسبقًا على ImageNet.
(A): صحيح، صحيح
(B): خطأ، خطأ
(C): صحيح، خطأ
(D): خطأ، صحيح","Statement 1| Traditional machine learning results assume that the train and test sets are independent and identically distributed. Statement 2| In 2017, COCO models were usually pretrained on ImageNet.
(A): True, True
(B): False, False
(C): True, False
(D): False, True",A,"['بيان', '١', '|', 'Traditional', 'machine', 'learning', 'results', 'assume', 'that', 'the', 'train', 'and', 'test', 'sets', 'are', 'independent', 'and', 'identically', 'distributed.', 'بيان', '٢', '|', 'في', 'عام', '٢٠١٧،', 'COCO', 'models', 'were', 'usually', 'pretrained', 'on', 'ImageNet.', 'صحيح،', 'True', 'خطأ،', 'False', 'صحيح،', 'False', 'خطأ،', 'True']","['ara', 'ara', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'other', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'eng', 'ara', 'eng', 'ara', 'eng', 'ara', 'eng']"
5,professional_law/test/855,13.58,0.31,0.13,0.98,0.94,0.93,3,2,2,"رجل اختطف ضحية في State A ونقل الضحية عبر حدود الولاية إلى State B. هذه الأفعال خرقت قوانين الاختطاف في كل من الولايتين، والتي تتطابق. حكمت هيئة محلفين على الرجل في محكمة State A، لكن القاضي الذي أجرى المحاكمة أعطى جملة حكم بما اعتبره prosecutors in State B جملة حكم فيها تساهل. بعد ذلك، باشر the state prosecutor في State B قضية اختطاف ضد الرجل لانتهاك قانون الاختطاف في State B. ثم تقدم محامي الرجل بطلب لإقالة التهمة في State B بناءً على حماية المزدوجة ضد محاكمة ثانية لفعل الخطف الواحد للرجل. هل يجوز للمحكمة منح الطلب لإقالة الاتهام؟
(A): لا، لأن حماية المزدوجة تحرم فقط محاكمة ثانية بعد البراءة من نفس التهمة.
(B): لا، لأن سلوك الرجل خرق قوانين دولتين مختلفتين، وكل دولة لها the right to enforce its laws.
(C): نعم، لأن حماية المزدوجة تمنع محاكمة ثانية بعد الإدانة بنفس التهمة.
(D): نعم، لأن the government ملتزمة بعدم إعادة مقاضاة المتهم للمرة الثانية بنفس الفعل الذي أدى إلى إدانته السابقة بموجب حماية المزدوجة.",[],[],"رجل اختطف ضحية في الولاية أ ونقل الضحية عبر حدود الولاية إلى الولاية ب. هذه الأفعال خرقت قوانين الاختطاف في كل من الولايتين، والتي تتطابق. حكمت هيئة محلفين على الرجل في محكمة الولاية أ، لكن القاضي الذي أجرى المحاكمة أعطى جملة حكم بما اعتبره مدعونون في ولاية ب جملة حكم فيها تساهل. بعد ذلك، باشر المدعي العام في ولاية ب قضية اختطاف ضد الرجل لانتهاك قانون الاختطاف في ولاية ب. ثم تقدم محامي الرجل بطلب لإقالة التهمة في ولاية ب بناءً على حماية المزدوجة ضد محاكمة ثانية لفعل الخطف الواحد للرجل. هل يجوز للمحكمة منح الطلب لإقالة الاتهام؟
(A): لا، لأن حماية المزدوجة تحرم فقط محاكمة ثانية بعد البراءة من نفس التهمة.
(B): لا، لأن سلوك الرجل خرق قوانين دولتين مختلفتين، وكل دولة لها الحق في تنفيذ قوانينها.
(C): نعم، لأن حماية المزدوجة تمنع محاكمة ثانية بعد الإدانة بنفس التهمة.
(D): نعم، لأن الحكومة ملتزمة بعدم إعادة مقاضاة المتهم للمرة الثانية بنفس الفعل الذي أدى إلى إدانته السابقة بموجب حماية المزدوجة.","A man kidnapped a victim in State A and transported the victim across the state border into State B. These actions violated the kidnapping laws of both states, which are identical. A jury convicted the man in a State A court, but the trial judge gave what prosecutors in State B deemed an unduly lenient sentence. The state prosecutor in State B then commenced a kidnapping case against the man for violating State B's kidnapping statute. The man's lawyer has filed a motion in State B to dismiss the charge based on the double jeopardy protection against a second prosecution for the man's single act of kidnapping. Should the court grant the motion to dismiss?
(A): No, because the double jeopardy protection only prohibits a second prosecution following an acquittal for the same offense.
(B): No, because the man's conduct violated the laws of two different states, and each has the right to enforce its laws. right to enforce its laws.
(C): Yes, because the double jeopardy protection prohibits a second prosecution following a conviction for the same offense.
(D): Yes, because the government is collaterally estopped under the double jeopardy protection from prosecuting a defendant a second time for the same conduct that led to an earlier conviction.",B,"['رجل', 'اختطف', 'ضحية', 'في', 'State', 'A', 'ونقل', 'الضحية', 'عبر', 'حدود', 'الولاية', 'إلى', 'State', 'B.', 'هذه', 'الأفعال', 'خرقت', 'قوانين', 'الاختطاف', 'في', 'كل', 'من', 'الولايتين،', 'والتي', 'تتطابق', '.', 'حكمت', 'هيئة', 'محلفين', 'على', 'الرجل', 'في', 'محكمة', 'State', 'A', '،', 'لكن', 'القاضي', 'الذي', 'أجرى', 'المحاكمة', 'أعطى', 'جملة', 'حكم', 'بما', 'اعتبره', 'prosecutors', 'in', 'State', 'B', 'جملة', 'حكم', 'فيها', 'تساهل', '.', 'بعد', 'ذلك،', 'باشر', 'the', 'state', 'prosecutor', 'في', 'State', 'B', 'قضية', 'اختطاف', 'ضد', 'الرجل', 'لانتهاك', 'قانون', 'الاختطاف', 'في', 'State', 'B.', 'ثم', 'تقدم', 'محامي', 'الرجل', 'بطلب', 'لإقالة', 'التهمة', 'في', 'State', 'B', 'بناءً', 'على', 'حماية', 'المزدوجة', 'ضد', 'محاكمة', 'ثانية', 'لفعل', 'الخطف', 'الواحد', 'للرجل', '.', 'هل', 'يجوز', 'للمحكمة', 'منح', 'الطلب', 'لإقالة', 'الاتهام؟', 'لا،', 'لأن', 'حماية', 'المزدوجة', 'تحرم', 'فقط', 'محاكمة', 'ثانية', 'بعد', 'البراءة', 'من', 'نفس', 'التهمة', '.', 'لا،', 'لأن', 'سلوك', 'الرجل', 'خرق', 'قوانين', 'دولتين', 'مختلفتين،', 'وكل', 'دولة', 'لها', 'the', 'right', 'to', 'enforce', 'its', 'laws.', 'نعم،', 'لأن', 'حماية', 'المزدوجة', 'تمنع', 'محاكمة', 'ثانية', 'بعد', 'الإدانة', 'بنفس', 'التهمة', '.', 'نعم،', 'لأن', 'the', 'government', 'ملتزمة', 'بعدم', 'إعادة', 'مقاضاة', 'المتهم', 'للمرة', 'الثانية', 'بنفس', 'الفعل', 'الذي', 'أدى', 'إلى', 'إدانته', 'السابقة', 'بموجب', 'حماية', 'المزدوجة', '.']","['ara', 'ara', 'ara', 'ara', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'other', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'other', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'ara', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'other', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'other', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'other', 'ara', 'ara', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'other']"
6,high_school_psychology/test/381,18.6,0.43,0.25,0.94,0.92,0.91,3,2,2,"ما هو الأكثر دقة وصفاً لإطلاق سراح الneuron?
(A): يحدث تدريجياً عندما تصل الneuron للhyperpolarization.
(B): لديها جودة all-or-none: إما أن يحدث ذلك ، أو لا يحدث.
(C): تقل قوتها بينما تسافر على طول الsoma.
(D): يحدث فقط في الpost-synaptic neuron.",[],[],"ما هو الأكثر دقة وصفاً لإطلاق سراح الخلية العصبية؟
(A): يحدث تدريجياً عندما تصل الخلية العصبية للهايبربلارة.
(B): لديها جودة كلي أو لا شيء: إما أن يحدث ذلك ، أو لا يحدث.
(C): تقل قوتها بينما تسافر على طول السوما.
(D): يحدث فقط في الخلية العصبية بعد المشبكية.","Which of the following most accurately describes the firing of a neuron?
(A): It occurs gradually as the neuron reaches hyperpolarization.
(B): It has an all-or-none quality: it either happens, or it does not.
(C): Its strength diminishes as it travels along the soma.
(D): It occurs only in the post-synaptic neuron.",B,"['ما', 'هو', 'الأكثر', 'دقة', 'وصفاً', 'لإطلاق', 'سراح', 'ال', 'neuron', '?', 'يحدث', 'تدريجياً', 'عندما', 'تصل', 'ال', 'neuron', 'لل', 'hyperpolarization.', 'لديها', 'جودة', 'all-or-none', ':', 'إما', 'أن', 'يحدث', 'ذلك', '،', 'أو', 'لا', 'يحدث', '.', 'تقل', 'قوتها', 'بينما', 'تسافر', 'على', 'طول', 'ال', 'soma.', 'يحدث', 'فقط', 'في', 'ال', 'post-synaptic', 'neuron.']","['ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'ara', 'eng', 'ara', 'ara', 'eng', 'other', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'other', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng']"
7,professional_psychology/test/29,15.79,0.36,0.15,0.96,0.95,0.93,3,3,3,عند أداء مهمة ________ ، يختار أعضاء المجموعة حلاً مُقدمًا من أحد أعضاء المجموعة كحل للمجموعة. (A): compensatory (B): disjunctive (C): جمعي (D): additive,[],[],"عند أداء مهمة ________ ، يختار أعضاء المجموعة حلاً مُقدمًا من أحد أعضاء المجموعة كحل للمجموعة.
(A): تعويض
(B): فارقي
(C): جمعي
(D): جمعي","When performing a(n) ________ task, group members select a solution offered by one of the group members as the group’s solution.
(A): compensatory
(B): disjunctive
(C): conjunctive
(D): additive",B,"['عند', 'أداء', 'مهمة', '________', '،', 'يختار', 'أعضاء', 'المجموعة', 'حلاً', 'مُقدمًا', 'من', 'أحد', 'أعضاء', 'المجموعة', 'كحل', 'للمجموعة', '.', 'compensatory', 'disjunctive', 'جمعي', 'additive']","['ara', 'ara', 'ara', 'other', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'other', 'eng', 'eng', 'ara', 'eng']"
8,high_school_biology/test/71,19.3,0.45,0.27,0.98,0.94,0.92,3,3,3,"يحدد جينان (B وE) coat color في Labrador retrievers. الأليلات B و b ترمز إلى كمية الميلانين الموجودة. الأليل المهيمن B يرمز إلى black fur، في حين يرمز الأليل ال recessive b إلى brown hair. يتكون جين ثاني من اثنين من الأليلات، E و e، ويشفر إيداع ال pigment في الشعر. في هذه الحالة، يقال إن الأليلات المسؤولة عن إيداع ال pigment (E أو e) هي تتدخل إبستاتيكيًا في الجين الذي يتحكم بصبغة black أو brown. إذا لم يتوفر الأليل المهيمن (E)، بغض النظر عن ال genotype في موقع الفرو ال black/brown، سيكون fur الحيوان yellow.
(A): BBEe سيكون brown.
(B): BbEe سيكون brown.
(C): Bbee سيكون brown.
(D): BBee سيكون yellow.",[],[],"يحدد جينان (B وE) لون الفرو في الكلاب اللاجوم المستردة. الأليلات B و b ترمز إلى كمية الميلانين الموجودة. الأليل المهيمن B يرمز إلى فرو أسود، في حين يرمز الأليل ال recissive b إلى فرو بني. يتكون جين ثاني من اثنين من الأليلات، E و e، ويشفر إيداع الصباغ في الشعر. في هذه الحالة، يقال إن الأليلات المسؤولة عن إيداع الصباغ (E أو e) هي تتدخل إبستاتيكيًا في الجين الذي يتحكم بصبغة سوداء أو بنية. إذا لم يتوفر الأليل المهيمن (E)، بغض النظر عن الجينوتايب في موقع الفرو الأسود/البني، سيكون فرو الحيوان أصفر.
(A): BBEe سيكون بني اللون.
(B): BbEe سيكون بني اللون.
(C): Bbee سيكون بني اللون.
(D): BBee سيكون أصفر اللون.","Two genes (B and E) determine coat color in Labrador retrievers. Alleles B and b code for how much melanin is present. The dominant allele B codes for black fur, the recessive allele b codes for brown hair. A second gene consisting of two alleles, E and e, codes for the deposition of pigment in the hair. In this case, the alleles for pigment deposition (E or e) are said to be epistatic to the gene that codes for black or brown pigment. If the dominant allele (E) is not present, regardless of the genotype at the black/brown locus, the animal's fur will be yellow.
(A): BBEe will be brown.
(B): BbEe will be brown.
(C): Bbee will be brown.
(D): BBee will be yellow.",D,"['يحدد', 'جينان', '(', 'B', 'و', 'E', ')', 'coat', 'color', 'في', 'Labrador', 'retrievers.', 'الأليلات', 'B', 'و', 'b', 'ترمز', 'إلى', 'كمية', 'الميلانين', 'الموجودة', '.', 'الأليل', 'المهيمن', 'B', 'يرمز', 'إلى', 'black', 'fur', '،', 'في', 'حين', 'يرمز', 'الأليل', 'ال', 'recessive', 'b', 'إلى', 'brown', 'hair.', 'يتكون', 'جين', 'ثاني', 'من', 'اثنين', 'من', 'الأليلات،', 'E', 'و', 'e', '،', 'ويشفر', 'إيداع', 'ال', 'pigment', 'في', 'الشعر', '.', 'في', 'هذه', 'الحالة،', 'يقال', 'إن', 'الأليلات', 'المسؤولة', 'عن', 'إيداع', 'ال', 'pigment', '(', 'E', 'أو', 'e', ')', 'هي', 'تتدخل', 'إبستاتيكيًا', 'في', 'الجين', 'الذي', 'يتحكم', 'بصبغة', 'black', 'أو', 'brown.', 'إذا', 'لم', 'يتوفر', 'الأليل', 'المهيمن', '(', 'E', ')،', 'بغض', 'النظر', 'عن', 'ال', 'genotype', 'في', 'موقع', 'الفرو', 'ال', 'black', '/', 'brown', '،', 'سيكون', 'fur', 'الحيوان', 'yellow.', 'BBEe', 'سيكون', 'brown.', 'BbEe', 'سيكون', 'brown.', 'Bbee', 'سيكون', 'brown.', 'BBee', 'سيكون', 'yellow.']","['ara', 'ara', 'other', 'ara', 'ara', 'ara', 'other', 'eng', 'eng', 'ara', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'other', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'ara', 'ara', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'ara', 'ara', 'other', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'other', 'ara', 'ara', 'ara', 'other', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'ara', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'other', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'ara', 'ara', 'ara', 'ara', 'eng', 'other', 'eng', 'ara', 'ara', 'eng', 'ara', 'eng', 'ara', 'ara', 'eng', 'ara', 'ara', 'eng', 'ara', 'ara', 'eng', 'ara', 'ara', 'eng']"
9,prehistory/test/192,28.0,0.68,0.27,0.97,0.93,0.91,3,3,3,"الباحثون الذين يدرسون البشر من خلال الإقامة في مجتمعات معينة ومراقبة the behaviors of the people يعرفون باسم:
(A): archaeologists.
(B): علماء الأعراف.
(C): linguists.
(D): علماء الإنسان القديم.",[],[],"الباحثون الذين يدرسون البشر من خلال الإقامة في مجتمعات معينة ومراقبة سلوك الناس يعرفون باسم:
(A): الآثاريين.
(B): علماء الأعراف.
(C): علماء اللغة.
(D): علماء الإنسان القديم.","Researchers who study humans by residing in particular societies and observing the behaviors of the people are known as:
(A): archaeologists.
(B): ethnographers.
(C): linguists.
(D): paleoanthropologists.",B,"['الباحثون', 'الذين', 'يدرسون', 'البشر', 'من', 'خلال', 'الإقامة', 'في', 'مجتمعات', 'معينة', 'ومراقبة', 'the', 'behaviors', 'of', 'the', 'people', 'يعرفون', 'باسم:', 'archaeologists.', 'علماء', 'الأعراف', '.', 'linguists.', 'علماء', 'الإنسان', 'القديم', '.']","['ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'eng', 'ara', 'ara', 'other', 'eng', 'ara', 'ara', 'ara', 'other']"
