,id,cmi,m_index,i_index,similarity_between_L1_and_L1-L2,similarity_between_L2_and_L1-L2,similarity_between_L1_and_L2,coherence,naturalness,readability,L1-L2,lang1_replaced_parts,lang2_replaced_parts,L1,L2,answer,tokens,lids
0,marketing/test/55,40.91,0.94,0.37,0.84,0.93,0.79,3,3,3,"__________ লক্ষ্য শ্রেণীতে বার্তা পৌঁছানো খুব কার্যকর। কারণ, এটি explanation দেওয়ার অনুমতি দেয় যেভাবে most other media cannot।
(A): Digital।
(B): Print।
(C): Broadcast।
(D): Outdoor।",[],[],"__________ লক্ষ্য শ্রেণীতে বার্তা পৌঁছানো খুব কার্যকর। কারণ, প্রবেশদ্বারসহ সকল মাধ্যমের উপর এর প্রভাব পার্থক্য রয়ে যায়।
(A): ডিজিটাল।
(B): প্রিন্ট।
(C): ব্রডকাস্ট।
(D): বাইরের।","____________ is very effective at delivering messages to target audiences as it allows for explanation in a way that most other media cannot.
(A): Digital.
(B): Print.
(C): Broadcast.
(D): Outdoor.",B,"['__________', 'লক্ষ্য', 'শ্রেণীতে', 'বার্তা', 'পৌঁছানো', 'খুব', 'কার্যকর।', 'কারণ', ',', 'এটি', 'explanation', 'দেওয়ার', 'অনুমতি', 'দেয়', 'যেভাবে', 'most', 'other', 'media', 'cannot', '।', 'Digital', '।', 'Print', '।', 'Broadcast', '।', 'Outdoor', '।']","['other', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'other', 'eng', 'other', 'other', 'other', 'other', 'eng', 'eng', 'eng', 'eng', 'ben', 'eng', 'ben', 'eng', 'ben', 'eng', 'ben', 'eng', 'ben']"
1,high_school_psychology/test/403,36.36,0.86,0.14,0.97,0.92,0.91,3,3,3,"গবেষণার ফলাফল দেখায়, নিউরোট্রান্সমিটার অ্যাসিটিলকোলিন এবং নিম্নলিখিত mental disorders মধ্যে সম্ভাব্য সংযোগ রয়েছে কোনটি সাম্যস্য? 
(A): Parkinson's disease
(B): Alzheimer's disease
(C): Schizophrenia
(D): Mania",[],[],"গবেষণার ফলাফল দেখায়, নিউরোট্রান্সমিটার অ্যাসিটিলকোলিন এবং নিম্নলিখিত মানসিক ব্যাধির মধ্যে সম্ভাব্য সংযোগ রয়েছে কোনটি সাম্যস্য? 
(A): পার্কিংসন রোগ
(B): আলজাইমার রোগ
(C): স্কিজোফ্রেনিয়া
(D): উন্মাদ","Research has shown a possible connection between the neurotransmitter acetylcholine and which of the following mental disorders?
(A): Parkinson's disease
(B): Alzheimer's disease
(C): Schizophrenia
(D): Mania",B,"['গবেষণার', 'ফলাফল', 'দেখায়', ',', 'নিউরোট্রান্সমিটার', 'অ্যাসিটিলকোলিন', 'এবং', 'নিম্নলিখিত', 'mental', 'disorders', 'মধ্যে', 'সম্ভাব্য', 'সংযোগ', 'রয়েছে', 'কোনটি', 'সাম্যস্য?', ""Parkinson's"", 'disease', ""Alzheimer's"", 'disease', 'Schizophrenia', 'Mania']","['ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'eng', 'eng', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']"
2,high_school_biology/test/49,41.18,0.94,0.28,0.96,0.9,0.86,3,2,3,"পরিবেশের কোনটি জীবন্ত উপাদান যা একটি population এর বৃদ্ধি হার প্রভাবিত করতে পারে?
(A): Volcanic eruption দ্বারা আবহাওয়া পরিবর্তন
(B): Glacier melting এর ফলে
(C): Destruction of the ozone layer এর ফলে
(D): Sudden reduction in the খাদ্য সংস্থার হঠাৎ কমতে",[],[],"পরিবেশের কোনটি জীবন্ত উপাদান যা একটি জনসংখ্যার বৃদ্ধি হার প্রভাবিত করতে পারে?
(A): আগ্নেয়গিরি দ্বারা আবহাওয়া পরিবর্তন
(B): হিমনদী গলনের ফলে
(C): ওজন উত্তরণের ধ্বংসের ফলে
(D): জীবজন্তুদের খাদ্য সংস্থার হঠাৎ কমতে","Which of the following is a biotic factor that could affect the growth rate of a population?
(A): Volcanic eruption
(B): Glacier melting
(C): Destruction of the ozone layer
(D): Sudden reduction in the animal food resource",C,"['পরিবেশের', 'কোনটি', 'জীবন্ত', 'উপাদান', 'যা', 'একটি', 'population', 'এর', 'বৃদ্ধি', 'হার', 'প্রভাবিত', 'করতে', 'পারে?', 'Volcanic', 'eruption', 'দ্বারা', 'আবহাওয়া', 'পরিবর্তন', 'Glacier', 'melting', 'এর', 'ফলে', 'Destruction', 'of', 'the', 'ozone', 'layer', 'এর', 'ফলে', 'Sudden', 'reduction', 'in', 'the', 'খাদ্য', 'সংস্থার', 'হঠাৎ', 'কমতে']","['ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'eng', 'other', 'ben', 'ben', 'ben', 'ben', 'ben', 'eng', 'eng', 'ben', 'ben', 'ben', 'eng', 'eng', 'other', 'ben', 'eng', 'eng', 'eng', 'eng', 'eng', 'other', 'ben', 'eng', 'eng', 'eng', 'eng', 'ben', 'ben', 'ben', 'ben']"
3,nutrition/test/108,36.36,0.86,0.47,0.95,0.94,0.91,3,3,3,"খাদ্য ফাঁকা এসিডের শ্রেণীগুলির মধ্যে কোনটি plasma LDL cholesterol levels সবচেয়ে উপকারজনক প্রভাব ফেলে?

(A): n-3 এবং n-6 বহুমুখী ফ্যাটি এসিড
(B): Saturated এবং trans অবিশৃঙ্খল ফ্যাটি এসিড
(C): Monounsaturated ফ্যাটি এসিড
(D): Both a এবং c",[],[],"খাদ্য ফাঁকা এসিডের শ্রেণীগুলির মধ্যে কোনটি প্লাজমা এলডিএল কোলেস্টেরল স্তরে সবচেয়ে উপকারজনক প্রভাব ফেলে?

(A): এন-৩ এবং এন-৬ বহুমুখী ফ্যাটি এসিড
(B): স্যাটারেটেড এবং ট্রান্স অবিশৃঙ্খল ফ্যাটি এসিড
(C): একঘটিত ফ্যাটি এসিড
(D): সব এবং একইসাথে সি","Of the classes of dietary fatty acids which have the most beneficial effect on plasma LDL cholesterol levels?

(A): n-3 and n-6 polyunsaturated fatty acids
(B): Saturated and trans unsaturated fatty acids
(C): Monounsaturated fatty acids
(D): Both a and c",D,"['খাদ্য', 'ফাঁকা', 'এসিডের', 'শ্রেণীগুলির', 'মধ্যে', 'কোনটি', 'plasma', 'LDL', 'cholesterol', 'levels', 'সবচেয়ে', 'উপকারজনক', 'প্রভাব', 'ফেলে?', 'n-3', 'এবং', 'n-6', 'বহুমুখী', 'ফ্যাটি', 'এসিড', 'Saturated', 'এবং', 'trans', 'অবিশৃঙ্খল', 'ফ্যাটি', 'এসিড', 'Monounsaturated', 'ফ্যাটি', 'এসিড', 'Both', 'a', 'এবং', 'c']","['ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'eng', 'eng', 'eng', 'eng', 'ben', 'ben', 'ben', 'ben', 'eng', 'ben', 'eng', 'ben', 'ben', 'ben', 'eng', 'ben', 'eng', 'ben', 'ben', 'ben', 'eng', 'ben', 'ben', 'eng', 'eng', 'ben', 'eng']"
4,marketing/test/155,15.38,0.35,0.32,0.94,0.91,0.88,3,3,3,"একটি মূল্য নির্ধারণ পদ্ধতি যেখানে মূল্য কাস্টমাররা অবদান মনে করে প্রদান করে সেট করা হয় সেটি বলা হয়:
(A): Cost-oriented পদ্ধতি।
(B): Demand-oriented পদ্ধতি।
(C): Competitor-oriented পদ্ধতি।
(D): Value-oriented পদ্ধতি।",[],[],"একটি মূল্য নির্ধারণ পদ্ধতি যেখানে মূল্য কাস্টমাররা অবদান মনে করে প্রদান করে সেট করা হয় সেটি বলা হয়:
(A): খরচ-উন্মুক্ত পদ্ধতি।
(B): চাহিদা-উন্মুক্ত পদ্ধতি।
(C): প্রতিদ্বন্দ্বী-উন্মুক্ত পদ্ধতি।
(D): মানদণ্ড-উন্মুক্ত পদ্ধতি।"," The pricing approach where prices are set based on what customers believe to offer value is called the:
(A): Cost-oriented approach.
(B): Demand-oriented approach.
(C): Competitor-oriented approach.
(D): Value-oriented approach.",D,"['একটি', 'মূল্য', 'নির্ধারণ', 'পদ্ধতি', 'যেখানে', 'মূল্য', 'কাস্টমাররা', 'অবদান', 'মনে', 'করে', 'প্রদান', 'করে', 'সেট', 'করা', 'হয়', 'সেটি', 'বলা', 'হয়:', 'Cost-oriented', 'পদ্ধতি।', 'Demand-oriented', 'পদ্ধতি।', 'Competitor-oriented', 'পদ্ধতি।', 'Value-oriented', 'পদ্ধতি।']","['ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'eng', 'ben', 'eng', 'ben', 'eng', 'ben', 'eng', 'ben']"
5,machine_learning/test/67,40.0,0.92,0.33,0.89,0.92,0.8,3,3,2,"বিবৃতি ১| Traditional machine learning results বিবেচনার জন্য স্বচ্ছতার পরীক্ষা এবং test sets স্বাধীন এবং identically distributed হিসাবে ধরে নেওয়া হয়। বিবৃতি ২| In 2017, COCO models সাধারণতঃ ImageNet-এ পূর্বাভাস করা হত।
(A): সত্য, True
(B): মিথ্যা, False
(C): সত্য, False
(D): মিথ্যা, True",[],[],"বিবৃতি ১| পারম্পরিক মেশিন লার্নিং ফলাফল বিবেচনার জন্য স্বচ্ছতার পরীক্ষা এবং পরীক্ষা সেট স্বাধীন এবং একইভাবে বিতর্কিত হিসাবে ধরে নেওয়া হয়। বিবৃতি ২| ২০১৭ সালে সি ও সি ও মডেলগুলি সাধারণতঃ ইমেজনেটে পূর্বাভাস করা হত।
(A): সত্য, সত্য
(B): মিথ্যা, মিথ্যা
(C): সত্য, মিথ্যা
(D): মিথ্যা, সত্য","Statement 1| Traditional machine learning results assume that the train and test sets are independent and identically distributed. Statement 2| In 2017, COCO models were usually pretrained on ImageNet.
(A): True, True
(B): False, False
(C): True, False
(D): False, True",A,"['বিবৃতি', '১', '|', 'Traditional', 'machine', 'learning', 'results', 'বিবেচনার', 'জন্য', 'স্বচ্ছতার', 'পরীক্ষা', 'এবং', 'test', 'sets', 'স্বাধীন', 'এবং', 'identically', 'distributed', 'হিসাবে', 'ধরে', 'নেওয়া', 'হয়।', 'বিবৃতি', '২', '|', 'In', '2017,', 'COCO', 'models', 'সাধারণতঃ', 'ImageNet-', 'এ', 'পূর্বাভাস', 'করা', 'হত।', 'সত্য', ',', 'True', 'মিথ্যা', ',', 'False', 'সত্য', ',', 'False', 'মিথ্যা', ',', 'True']","['ben', 'ben', 'other', 'eng', 'eng', 'eng', 'eng', 'ben', 'ben', 'ben', 'ben', 'ben', 'eng', 'eng', 'ben', 'ben', 'eng', 'eng', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'other', 'eng', 'eng', 'eng', 'eng', 'ben', 'other', 'ben', 'ben', 'ben', 'ben', 'ben', 'other', 'eng', 'ben', 'other', 'eng', 'ben', 'other', 'eng', 'ben', 'other', 'eng']"
6,professional_law/test/855,23.08,0.55,0.18,0.84,0.88,0.89,2,2,2,"A man একজন শিকারীকে অপহরণ করে নি State A তে এবং transported শিকারীকে সীমা বাইরে State B তে। দুই রাজ্যের অপহরণ আইন একই, যা পলটকৃত হয়েছে। A jury convicted the man in a State A court, কিন্তু the trial judge gave what prosecutors in State B deemed an unduly lenient sentence. The state prosecutor in State B then commenced a kidnapping case মানুষকে অপহরণ মামলা চালু করেছে। The man's lawyer has filed a motion in State B to dismiss the charge based on the double jeopardy protection বিবাদ ফাইল করেছেন। Should the court grant the motion to dismiss?
(A): না, because the double jeopardy protection only prohibits a second prosecution following an acquittal for the same offense.
(B): না, because the man's conduct violated the laws of দুটি রাজ্যের, and each has the right to enforce its laws.
(C): হ্যাঁ, because the double jeopardy protection prohibits a second prosecution following a conviction for the same offense.
(D): হ্যাঁ, because the government is collaterally estopped under the double jeopardy protection from prosecuting a defendant a second time for the same conduct that led to an earlier conviction.",[],[],"একজন মানুষ রাজ্য A তে একজন শিকারীকে অপহরণ করে নি এবং শিকারীকে সীমা বাইরে আনে রাজ্য B তে। দুই রাজ্যের অপহরণ আইন একই, যা পলটকৃত হয়েছে। একটি জুরি শংসাপত্র জারি করেছিল মানুষকে রাজ্য A র কোর্ট এ দণ্ড প্রদান করেছিল, কিন্তু প্রচেষ্টাকারীরা বলেছেন যে বিভিন্নতা নেই,সীমা বর্তমান সম্পদগুলি অপহরণের চেষ্টা করেছে। পরবর্তীতে রাজ্য B গোপনীয়তা আইন লঙ্ঘন করার জন্য মানুষকে অপহরণ মামলা চালু করেছে। মানুষের উপযুক্ত আইনজমিনদার রাজ্য B তে অপহরণের অভিযানটি বাতিল করার জন্য বিবাদ ফাইল করেছেন। কর্তার দ্বারা সমস্তার্থকভাবে একটি বিচারক একটি অপহরণের অন্য একটি বিচারককে সেকেন্ডের জন্য পুনরায় অভিযান চালানো প্রতিরক্ষা করায়। বিচারককে দণ্ড প্রদান প্রদানের জন্য প্রচেষ্টা করলে না। কি করতে হবে যদি বিচারক বাতিলের বিষয়টি গ্রহণ করে?
(A): না, কারণ ডাবল জেওপার্ডি প্রতি একই অপরাধের প্রতিবাদীকে দ্বিতীয় অভিযানের বিচার এনে দেয় না।
(B): না, কারণ মানুষের আচরণ দুটি রাজ্যের আইন লঙ্ঘন করেছে এবং প্রত্যেকটি আইন প্রয়োজনীয় প্রয়োজন করে। আইন প্রয়োজন করে।
(C): হ্যাঁ, কারণ ডাবল জেওপার্ডি প্রতি একই অপরাধের দণ্ডাধিকারী দ্বিতীয় অভিযান প্রচালনা নিষিদ্ধ করে।
(D): হ্যাঁ,কারণ সরকার মামলা নাসদ্বিতীয় প্রথমবারের চালিত আচরণটি পরে আবার দ্বিতীয় সমস্তকর্মীদের পুনঃ দায়ী করার ডাবল জেওপার্ডি প্রতিরক্ষা অভিযানে বাধিত থাকে।","A man kidnapped a victim in State A and transported the victim across the state border into State B. These actions violated the kidnapping laws of both states, which are identical. A jury convicted the man in a State A court, but the trial judge gave what prosecutors in State B deemed an unduly lenient sentence. The state prosecutor in State B then commenced a kidnapping case against the man for violating State B's kidnapping statute. The man's lawyer has filed a motion in State B to dismiss the charge based on the double jeopardy protection against a second prosecution for the man's single act of kidnapping. Should the court grant the motion to dismiss?
(A): No, because the double jeopardy protection only prohibits a second prosecution following an acquittal for the same offense.
(B): No, because the man's conduct violated the laws of two different states, and each has the right to enforce its laws. right to enforce its laws.
(C): Yes, because the double jeopardy protection prohibits a second prosecution following a conviction for the same offense.
(D): Yes, because the government is collaterally estopped under the double jeopardy protection from prosecuting a defendant a second time for the same conduct that led to an earlier conviction.",B,"['A', 'man', 'একজন', 'শিকারীকে', 'অপহরণ', 'করে', 'নি', 'State', 'A', 'তে', 'এবং', 'transported', 'শিকারীকে', 'সীমা', 'বাইরে', 'State', 'B', 'তে।', 'দুই', 'রাজ্যের', 'অপহরণ', 'আইন', 'একই', ',', 'যা', 'পলটকৃত', 'হয়েছে।', 'A', 'jury', 'convicted', 'the', 'man', 'in', 'a', 'State', 'A', 'court,', 'কিন্তু', 'the', 'trial', 'judge', 'gave', 'what', 'prosecutors', 'in', 'State', 'B', 'deemed', 'an', 'unduly', 'lenient', 'sentence.', 'The', 'state', 'prosecutor', 'in', 'State', 'B', 'then', 'commenced', 'a', 'kidnapping', 'case', 'মানুষকে', 'অপহরণ', 'মামলা', 'চালু', 'করেছে।', 'The', ""man's"", 'lawyer', 'has', 'filed', 'a', 'motion', 'in', 'State', 'B', 'to', 'dismiss', 'the', 'charge', 'based', 'on', 'the', 'double', 'jeopardy', 'protection', 'বিবাদ', 'ফাইল', 'করেছেন।', 'Should', 'the', 'court', 'grant', 'the', 'motion', 'to', 'dismiss', '?', 'না', ',', 'because', 'the', 'double', 'jeopardy', 'protection', 'only', 'prohibits', 'a', 'second', 'prosecution', 'following', 'an', 'acquittal', 'for', 'the', 'same', 'offense.', 'না', ',', 'because', 'the', ""man's"", 'conduct', 'violated', 'the', 'laws', 'of', 'দুটি', 'রাজ্যের', ',', 'and', 'each', 'has', 'the', 'right', 'to', 'enforce', 'its', 'laws.', 'হ্যাঁ', ',', 'because', 'the', 'double', 'jeopardy', 'protection', 'prohibits', 'a', 'second', 'prosecution', 'following', 'a', 'conviction', 'for', 'the', 'same', 'offense.', 'হ্যাঁ', ',', 'because', 'the', 'government', 'is', 'collaterally', 'estopped', 'under', 'the', 'double', 'jeopardy', 'protection', 'from', 'prosecuting', 'a', 'defendant', 'a', 'second', 'time', 'for', 'the', 'same', 'conduct', 'that', 'led', 'to', 'an', 'earlier', 'conviction.']","['ben', 'eng', 'ben', 'ben', 'ben', 'ben', 'ben', 'eng', 'ben', 'ben', 'ben', 'eng', 'ben', 'ben', 'ben', 'eng', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'other', 'ben', 'ben', 'ben', 'ben', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ben', 'eng', 'ben', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ben', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ben', 'eng', 'eng', 'eng', 'eng', 'eng', 'ben', 'ben', 'ben', 'ben', 'ben', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ben', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ben', 'ben', 'ben', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'other', 'ben', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ben', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ben', 'ben', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ben', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ben', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']"
7,high_school_psychology/test/381,42.55,0.96,0.23,0.94,0.93,0.89,3,3,2,"নিচের কোনটি একটি নিউরনের firing সম্পর্কে সম্পূর্ণভাবে বর্ণনা করে?
(A): It occurs gradually as the neuron reaches হাইপারপোলারাইজেশন.
(B): It has an সম্পূর্ণভাবে হইতে হয় বা নইতে হয় quality.
(C): Its strength diminishes as it travels along the সোমার দিকে.
(D): It occurs only in the পোস্ট-সিনাপ্টিক নিউরনে.",[],[],"নিচের কোনটি একটি নিউরনের আবদ্ধতা সম্পর্কে সম্পূর্ণভাবে বর্ণনা করে?
(A): এটি নিউরন হাইপারপোলারাইজেশন পৌঁছানোর সাথে সাথে ধীরে ধীরে ঘটে।
(B): এর সম্পূর্ণভাবে হইতে হয় বা নইতে হয়।
(C): এর শক্তি সোমার দিকে গিয়ে কমে যায়।
(D): এটি কেবলমাত্র পোস্ট-সিনাপ্টিক নিউরনে ঘটে।","Which of the following most accurately describes the firing of a neuron?
(A): It occurs gradually as the neuron reaches hyperpolarization.
(B): It has an all-or-none quality: it either happens, or it does not.
(C): Its strength diminishes as it travels along the soma.
(D): It occurs only in the post-synaptic neuron.",B,"['নিচের', 'কোনটি', 'একটি', 'নিউরনের', 'firing', 'সম্পর্কে', 'সম্পূর্ণভাবে', 'বর্ণনা', 'করে?', 'It', 'occurs', 'gradually', 'as', 'the', 'neuron', 'reaches', 'হাইপারপোলারাইজেশন', '.', 'It', 'has', 'an', 'সম্পূর্ণভাবে', 'হইতে', 'হয়', 'বা', 'নইতে', 'হয়', 'quality.', 'Its', 'strength', 'diminishes', 'as', 'it', 'travels', 'along', 'the', 'সোমার', 'দিকে', '.', 'It', 'occurs', 'only', 'in', 'the', 'পোস্ট', '-', 'সিনাপ্টিক', 'নিউরনে', '.']","['ben', 'ben', 'ben', 'ben', 'eng', 'ben', 'ben', 'ben', 'ben', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ben', 'eng', 'eng', 'eng', 'eng', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ben', 'ben', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ben', 'other', 'ben', 'ben', 'eng']"
8,professional_psychology/test/29,21.74,0.52,0.12,0.95,0.9,0.88,3,3,3,"একটি ________ task উত্সর্জন করতে যখন গ্রুপ সদস্যরা, তখন গ্রুপ সমাধান হিসাবে একজন গ্রুপ সদস্য দ্বারা প্রস্তাবিত সমাধানটি নির্বাচন করে।
(A): compensatory
(B): disjunctive
(C): conjunctive
(D): additive",[],[],"একটি ________ টাস্ক উত্সর্জন করতে যখন গ্রুপ সদস্যরা, তখন গ্রুপ সমাধান হিসাবে একজন গ্রুপ সদস্য দ্বারা প্রস্তাবিত সমাধানটি নির্বাচন করে।
(A): কম্পেনসেটরি
(B): ডিসজাংটিভ
(C): সংযুক্ত
(D): যোগিক","When performing a(n) ________ task, group members select a solution offered by one of the group members as the group’s solution.
(A): compensatory
(B): disjunctive
(C): conjunctive
(D): additive",B,"['একটি', '________', 'task', 'উত্সর্জন', 'করতে', 'যখন', 'গ্রুপ', 'সদস্যরা', ',', 'তখন', 'গ্রুপ', 'সমাধান', 'হিসাবে', 'একজন', 'গ্রুপ', 'সদস্য', 'দ্বারা', 'প্রস্তাবিত', 'সমাধানটি', 'নির্বাচন', 'করে।', 'compensatory', 'disjunctive', 'conjunctive', 'additive']","['ben', 'other', 'eng', 'ben', 'ben', 'ben', 'ben', 'ben', 'other', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'eng', 'eng', 'eng', 'eng']"
9,high_school_biology/test/71,42.59,0.96,0.32,0.95,0.93,0.91,3,3,2,"ল্যাব্রাডর retrievers এ দুটি জিন (B এবং E) coat color নির্ধারণ করে। Alleles B এবং b কোড for how much melanin উপস্থিতি নির্ধারণ করে। ডোমিন্যান্ট অ‍্যালেল B কালো fur, রিসেসিভ অ‍্যালেল b কোড for brown hair. A second gene consisting of দুইটি অলেল, E এবং e, চুলে pigment রঙকর করার জন্য কোড করে। In this case, অলেল (E বা e) for pigment deposition are said to be epistatic to the gene that codes for কালো বা ব্রাউন pigment. ডোমিন্যান্ট অ‍্যালেল (E) উপস্থিত না হলে, regardless of the genotype at the কালো / ব্রাউন locus, প্রাণীর fur হবে হলুদ।
(A): BBEe হবে brown.
(B): BbEe হবে brown.
(C): Bbee হবে brown.
(D): BBee হবে yellow.",[],[],"ল্যাব্রাডর রিট্রিভারে দুটি জিন (বি এবং ই) কোট রঙ নির্ধারণ করে। অ‍্যালেল B এবং b মেলানিন উপস্থিতি নির্ধারণ করে। ডোমিন্যান্ট অ‍্যালেল B কালো চুল, রিসেসিভ অ‍্যালেল b কোলকান্দরা চুল নির্ধারণ করে। দ্বিতীয় জেন একটি দুইটি অলেল থেকে গঠিত যা, E এবং e, চুলকে রঙকর করার জন্য কোড করে। এই ক্ষেত্রে, রঙকর জন্য অলেল (E বা e) কালো বা ব্রাউন রঙের কোডকেই এপিসটেটিক বলা হয়। ডোমিন্যান্ট অ‍্যালেল (E) উপস্থিত না হলে, কালো / ব্রাউন লোকাসের জেনটার জেনোটাই হোক না, প্রাণীর চুল হবে হলুদ।
(A): BBEe হবে ব্রাউন।
(B): BbEe হবে ব্রাউন।
(C): Bbee হবে ব্রাউন।
(D): BBee হবে হলুদ।","Two genes (B and E) determine coat color in Labrador retrievers. Alleles B and b code for how much melanin is present. The dominant allele B codes for black fur, the recessive allele b codes for brown hair. A second gene consisting of two alleles, E and e, codes for the deposition of pigment in the hair. In this case, the alleles for pigment deposition (E or e) are said to be epistatic to the gene that codes for black or brown pigment. If the dominant allele (E) is not present, regardless of the genotype at the black/brown locus, the animal's fur will be yellow.
(A): BBEe will be brown.
(B): BbEe will be brown.
(C): Bbee will be brown.
(D): BBee will be yellow.",D,"['ল্যাব্রাডর', 'retrievers', 'এ', 'দুটি', 'জিন', '(', 'B', 'এবং', 'E', ')', 'coat', 'color', 'নির্ধারণ', 'করে।', 'Alleles', 'B', 'এবং', 'b', 'কোড', 'for', 'how', 'much', 'melanin', 'উপস্থিতি', 'নির্ধারণ', 'করে।', 'ডোমিন্যান্ট', 'অ\u200d্যালেল', 'B', 'কালো', 'fur,', 'রিসেসিভ', 'অ\u200d্যালেল', 'b', 'কোড', 'for', 'brown', 'hair.', 'A', 'second', 'gene', 'consisting', 'of', 'দুইটি', 'অলেল', ',', 'E', 'এবং', 'e,', 'চুলে', 'pigment', 'রঙকর', 'করার', 'জন্য', 'কোড', 'করে।', 'In', 'this', 'case,', 'অলেল', '(', 'E', 'বা', 'e', ')', 'for', 'pigment', 'deposition', 'are', 'said', 'to', 'be', 'epistatic', 'to', 'the', 'gene', 'that', 'codes', 'for', 'কালো', 'বা', 'ব্রাউন', 'pigment.', 'ডোমিন্যান্ট', 'অ\u200d্যালেল', '(', 'E', ')', 'উপস্থিত', 'না', 'হলে', ',', 'regardless', 'of', 'the', 'genotype', 'at', 'the', 'কালো', '/', 'ব্রাউন', 'locus,', 'প্রাণীর', 'fur', 'হবে', 'হলুদ।', 'BBEe', 'হবে', 'brown.', 'BbEe', 'হবে', 'brown.', 'Bbee', 'হবে', 'brown.', 'BBee', 'হবে', 'yellow.']","['ben', 'eng', 'ben', 'ben', 'ben', 'other', 'ben', 'ben', 'ben', 'other', 'eng', 'eng', 'ben', 'ben', 'eng', 'ben', 'ben', 'ben', 'ben', 'eng', 'eng', 'eng', 'eng', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'ben', 'eng', 'ben', 'ben', 'ben', 'ben', 'eng', 'eng', 'eng', 'ben', 'eng', 'eng', 'eng', 'eng', 'ben', 'ben', 'other', 'ben', 'ben', 'ben', 'other', 'eng', 'ben', 'ben', 'ben', 'ben', 'ben', 'eng', 'eng', 'eng', 'ben', 'other', 'ben', 'ben', 'ben', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ben', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ben', 'ben', 'ben', 'eng', 'ben', 'ben', 'other', 'ben', 'other', 'ben', 'ben', 'ben', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ben', 'other', 'ben', 'eng', 'ben', 'eng', 'ben', 'ben', 'ben', 'ben', 'eng', 'ben', 'ben', 'eng', 'ben', 'ben', 'eng', 'ben', 'ben', 'eng']"
