,id,cmi,m_index,i_index,similarity_between_L1_and_L1-L2,similarity_between_L2_and_L1-L2,similarity_between_L1_and_L2,coherence,naturalness,readability,L1-L2,lang1_replaced_parts,lang2_replaced_parts,L1,L2,answer,tokens,lids
0,marketing/test/55,15.15,0.35,0.29,0.99,0.93,0.93,3,2,3,"____________ 在向目标受众传递信息方面非常 effective, 因为它可以以大多数其他 media 无法做到的方式进行 explanation。
(A): Digital 媒体。
(B): 印刷媒体。
(C): Broadcast 媒体。
(D): 户外 media。",[],[],"____________ 在向目标受众传递信息方面非常有效，因为它可以以大多数其他媒体无法做到的方式进行说明。
(A): 数字媒体。
(B): 印刷媒体。
(C): 广播媒体。
(D): 户外媒体。","____________ is very effective at delivering messages to target audiences as it allows for explanation in a way that most other media cannot.
(A): Digital.
(B): Print.
(C): Broadcast.
(D): Outdoor.",B,"['____________', '在', '向', '目标', '受众', '传递信息', '方面', '非常', 'effective,', '因为', '它', '可以', '以', '大多数', '其他', 'media', '无法', '做到', '的', '方式', '进行', 'explanation', '。', 'Digital', '媒体', '。', '印刷', '媒体', '。', 'Broadcast', '媒体', '。', '户外', 'media', '。']","['other', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'other', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'eng', 'chi']"
1,high_school_psychology/test/403,30.0,0.72,0.26,0.96,0.92,0.88,3,3,3,"研究表明，神经递质乙酰胆碱可能与以下哪种mental disorders有关？
(A): Parkinson's disease
(B): 阿尔茨海默病
(C): Schizophrenia
(D): Mania",[],[],"研究表明，神经递质乙酰胆碱可能与以下哪种精神疾病有关？
(A): 帕金森病
(B): 阿尔茨海默病
(C): 精神分裂症
(D): 狂躁症","Research has shown a possible connection between the neurotransmitter acetylcholine and which of the following mental disorders?
(A): Parkinson's disease
(B): Alzheimer's disease
(C): Schizophrenia
(D): Mania",B,"['研究', '表明', '，', '神经递质', '乙酰胆碱', '可能', '与', '以下', '哪', '种', 'mental', 'disorders', '有关', '？', ""Parkinson's"", 'disease', '阿尔茨海默', '病', 'Schizophrenia', 'Mania']","['chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'chi', 'chi', 'eng', 'eng', 'chi', 'chi', 'eng', 'eng']"
2,high_school_biology/test/49,44.0,0.97,0.17,0.97,0.95,0.93,3,2,2,"以下哪种是可能影响群体增长速率的biotic factor？
(A): Volcanic eruption
(B): Glacier melting
(C): Destruction of the ozone layer
(D): 动物食源突然减少",[],[],"以下哪种是可能影响群体增长速率的生物因素？
(A): 火山爆发
(B): 冰川融化
(C): 臭氧层破坏
(D): 动物食源突然减少","Which of the following is a biotic factor that could affect the growth rate of a population?
(A): Volcanic eruption
(B): Glacier melting
(C): Destruction of the ozone layer
(D): Sudden reduction in the animal food resource",C,"['以下', '哪种', '是', '可能', '影响', '群体', '增长', '速率', '的', 'biotic', 'factor', '？', 'Volcanic', 'eruption', 'Glacier', 'melting', 'Destruction', 'of', 'the', 'ozone', 'layer', '动物', '食源', '突然', '减少']","['chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi']"
3,nutrition/test/108,40.54,0.93,0.22,0.97,0.98,0.95,3,3,2,"在膳食脂肪酸类中，which have the most beneficial effect on plasma LDL cholesterol levels?

(A): n-3和n-6 polyunsaturated fatty acids
(B): 饱和脂肪酸和trans unsaturated fatty acids
(C): Monounsaturated fatty acids
(D): Both a和c",[],[],"在膳食脂肪酸类中，对血浆LDL胆固醇水平有最有益影响的是哪些？

(A): n-3和n-6多不饱和脂肪酸
(B): 饱和脂肪酸和反式不饱和脂肪酸
(C): 单不饱和脂肪酸
(D): a和c两者都是","Of the classes of dietary fatty acids which have the most beneficial effect on plasma LDL cholesterol levels?

(A): n-3 and n-6 polyunsaturated fatty acids
(B): Saturated and trans unsaturated fatty acids
(C): Monounsaturated fatty acids
(D): Both a and c",D,"['在', '膳食', '脂肪酸', '类中', '，', 'which', 'have', 'the', 'most', 'beneficial', 'effect', 'on', 'plasma', 'LDL', 'cholesterol', 'levels', '?', 'n-3', '和', 'n-6', 'polyunsaturated', 'fatty', 'acids', '饱和', '脂肪酸', '和', 'trans', 'unsaturated', 'fatty', 'acids', 'Monounsaturated', 'fatty', 'acids', 'Both', 'a', '和', 'c']","['chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi']"
4,marketing/test/155,13.79,0.31,0.14,0.98,0.93,0.93,2,2,2,定价方法根据顾客所感知的价值来设定价格的是: (A): Cost-oriented approach。 (B): 需求导向的方法。 (C): Competitor-oriented approach。 (D): 价值导向的方法。,[],[],"定价方法根据顾客所感知的价值来设定价格的是:
(A): 成本导向的方法。
(B): 需求导向的方法。
(C): 竞争对手导向的方法。
(D): 价值导向的方法。"," The pricing approach where prices are set based on what customers believe to offer value is called the:
(A): Cost-oriented approach.
(B): Demand-oriented approach.
(C): Competitor-oriented approach.
(D): Value-oriented approach.",D,"['定价', '方法', '根据', '顾客', '所', '感知', '的', '价值', '来', '设定', '价格', '的', '是', ':', 'Cost-oriented', 'approach', '。', '需求', '导向', '的', '方法', '。', 'Competitor-oriented', 'approach', '。', '价值', '导向', '的', '方法', '。']","['chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'other', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi']"
5,machine_learning/test/67,30.77,0.74,0.26,0.97,0.95,0.94,3,3,2,"语句1 | 传统机器学习结果假定训练集和测试集是独立且同分布的。语句2 | In 2017, COCO models were usually pretrained on ImageNet.
(A): 正确，True
(B): 错误，False
(C): 正确，False
(D): 错误，True",[],[],"语句1 | 传统机器学习结果假定训练集和测试集是独立且同分布的。语句2 | 在2017年，COCO模型通常在ImageNet上进行预训练。
(A): 正确，正确
(B): 错误，错误
(C): 正确，错误
(D): 错误，正确","Statement 1| Traditional machine learning results assume that the train and test sets are independent and identically distributed. Statement 2| In 2017, COCO models were usually pretrained on ImageNet.
(A): True, True
(B): False, False
(C): True, False
(D): False, True",A,"['语句', '1', '|', '传统', '机器', '学习', '结果', '假定', '训练', '集', '和', '测试', '集是', '独立', '且', '同', '分布', '的', '。', '语句', '2', '|', 'In', '2017,', 'COCO', 'models', 'were', 'usually', 'pretrained', 'on', 'ImageNet.', '正确', '，', 'True', '错误', '，', 'False', '正确', '，', 'False', '错误', '，', 'True']","['chi', 'other', 'other', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'other', 'other', 'eng', 'eng', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'eng', 'chi', 'chi', 'eng', 'chi', 'chi', 'eng', 'chi', 'chi', 'eng']"
6,professional_law/test/855,12.14,0.27,0.1,0.97,0.93,0.93,3,3,3,"一个男人在State A绑架了一个受害者，并将其运到State B。这些行为违反了两州相同的绑架法。一个陪审团在A州法院判定该男子有罪，但是该男子的律师在State B提出了一个动议，要求State B法院驳回起诉。该男子的律师认为，对其进行第二次绑架起诉违反了double jeopardy protection。法院应该同意这个动议吗？
(A): 不，因为double jeopardy protection只禁止对同一罪行的被免罪放弃人进行第二次起诉。
(B): 不，因为该男子的行为违反了两个不同州的法律，每个州都有right to enforce its laws。
(C): 是，因为double jeopardy protection禁止在同一罪行被判有罪后再进行第二次起诉。
(D): 是，因为根据double jeopardy protection，政府在同一个罪行上被判定有罪后，对被告进行第二次控告的行为被禁止。",[],[],"一个男人在A州绑架了一个受害者，将其运到B州。这些行为违反了两州相同的绑架法。一个陪审团在A州法院判定该男子有罪，但是该男子的律师在B州提出了一个动议，要求B州法院驳回起诉。该男子的律师认为，对其进行第二次绑架起诉违反了双重危险防护原则。法院应该同意这个动议吗？
(A): 不，因为双重危险防护原则只禁止对同一罪行的被免罪放弃人进行第二次起诉。
(B): 不，因为该男子的行为违反了两个不同州的法律，每个州都有权执行自己的法律。
(C): 是，因为双重危险防护原则禁止在同一罪行被判有罪后再进行第二次起诉。
(D): 是，因为根据双重危险防护原则，政府在同一个罪行上被判定有罪后，对被告进行第二次控告的行为被禁止。","A man kidnapped a victim in State A and transported the victim across the state border into State B. These actions violated the kidnapping laws of both states, which are identical. A jury convicted the man in a State A court, but the trial judge gave what prosecutors in State B deemed an unduly lenient sentence. The state prosecutor in State B then commenced a kidnapping case against the man for violating State B's kidnapping statute. The man's lawyer has filed a motion in State B to dismiss the charge based on the double jeopardy protection against a second prosecution for the man's single act of kidnapping. Should the court grant the motion to dismiss?
(A): No, because the double jeopardy protection only prohibits a second prosecution following an acquittal for the same offense.
(B): No, because the man's conduct violated the laws of two different states, and each has the right to enforce its laws. right to enforce its laws.
(C): Yes, because the double jeopardy protection prohibits a second prosecution following a conviction for the same offense.
(D): Yes, because the government is collaterally estopped under the double jeopardy protection from prosecuting a defendant a second time for the same conduct that led to an earlier conviction.",B,"['一个', '男人', '在', 'State', 'A', '绑架', '了', '一个', '受害者', '，', '并', '将', '其', '运到', 'State', 'B', '。', '这些', '行为', '违反', '了', '两州', '相同', '的', '绑架', '法', '。', '一个', '陪审团', '在', 'A', '州', '法院', '判定', '该', '男子', '有罪', '，', '但是', '该', '男子', '的', '律师', '在', 'State', 'B', '提出', '了', '一个', '动议', '，', '要求', 'State', 'B', '法院', '驳回', '起诉', '。', '该', '男子', '的', '律师', '认为', '，', '对', '其', '进行', '第二次', '绑架', '起诉', '违反', '了', 'double', 'jeopardy', 'protection', '。', '法院', '应该', '同意', '这个', '动议', '吗', '？', '不', '，', '因为', 'double', 'jeopardy', 'protection', '只', '禁止', '对', '同一', '罪行', '的', '被', '免罪', '放弃', '人', '进行', '第二次', '起诉', '。', '不', '，', '因为', '该', '男子', '的', '行为', '违反', '了', '两个', '不同', '州', '的', '法律', '，', '每个', '州', '都', '有', 'right', 'to', 'enforce', 'its', 'laws', '。', '是', '，', '因为', 'double', 'jeopardy', 'protection', '禁止', '在', '同一', '罪行', '被判', '有罪', '后', '再', '进行', '第二次', '起诉', '。', '是', '，', '因为', '根据', 'double', 'jeopardy', 'protection', '，', '政府', '在', '同一个', '罪行', '上', '被', '判定', '有罪', '后', '，', '对', '被告', '进行', '第二次', '控告', '的', '行为', '被', '禁止', '。']","['chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'other', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi']"
7,high_school_psychology/test/381,40.38,0.93,0.24,0.95,0.94,0.92,3,2,3,"下列哪个最准确地描述了神经元的 firing？
(A): It occurs gradually as the neuron reaches 超极化。
(B): 它具有 all-or-none 的品质：it either happens, 或不发生。
(C): 其强度 diminishes as it travels along the 细胞体。
(D): 它仅在 the post-synaptic neuron 中发生。",[],[],"下列哪个最准确地描述了神经元的放电？
(A): 随着神经元到达超极化，它逐渐发生。
(B): 它具有全有或全无的品质：要么发生，要么不发生。
(C): 其强度随着它沿细胞体的行进而减弱。
(D): 它仅在突触后神经元中发生。","Which of the following most accurately describes the firing of a neuron?
(A): It occurs gradually as the neuron reaches hyperpolarization.
(B): It has an all-or-none quality: it either happens, or it does not.
(C): Its strength diminishes as it travels along the soma.
(D): It occurs only in the post-synaptic neuron.",B,"['下列', '哪个', '最', '准确', '地', '描述', '了', '神经元', '的', 'firing', '？', 'It', 'occurs', 'gradually', 'as', 'the', 'neuron', 'reaches', '超极化', '。', '它', '具有', 'all-or-none', '的', '品质', '：', 'it', 'either', 'happens,', '或', '不', '发生', '。', '其', '强度', 'diminishes', 'as', 'it', 'travels', 'along', 'the', '细胞体', '。', '它', '仅', '在', 'the', 'post-synaptic', 'neuron', '中', '发生', '。']","['chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi']"
8,professional_psychology/test/29,27.59,0.67,0.1,0.93,0.96,0.9,3,2,2,"在执行一项________任务时，group members select a solution offered by one of the group members as the group’s solution.
(A): compensatory
(B): disjunctive
(C): 联结性
(D): additive",[],[],"在执行一项________任务时，组成员会选择由其中一名组员提供的解决方案作为整个小组的解决方案。
(A): 补偿性
(B): 分离性
(C): 联结性
(D): 加法性","When performing a(n) ________ task, group members select a solution offered by one of the group members as the group’s solution.
(A): compensatory
(B): disjunctive
(C): conjunctive
(D): additive",B,"['在', '执行', '一项', '________', '任务', '时', '，', 'group', 'members', 'select', 'a', 'solution', 'offered', 'by', 'one', 'of', 'the', 'group', 'members', 'as', 'the', 'group', '’', 's', 'solution.', 'compensatory', 'disjunctive', '联结', '性', 'additive']","['chi', 'chi', 'chi', 'other', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'eng']"
9,high_school_biology/test/71,28.68,0.69,0.13,0.96,0.95,0.93,2,2,2,"拉布拉多猎犬的毛色由B和E两种基因决定。等位基因B和b code for how much melanin is present。显性等位基因B codes for black fur, 隐性等位基因b codes for brown hair。第二个由E或e两种等位基因组成的基因 codes for the deposition of pigment in the hair。在这种情况下，颜色素沉积等位基因（E或e）被认为是 epistatic to the gene that codes for black or brown pigment。如果未出现显性等位基因E，则无论黑/棕位点的基因型如何，动物的毛发都将是黄色。
(A): BBEe will be 棕色的。
(B): BbEe will be 棕色的。
(C): Bbee will be 棕色的。
(D): BBee will be 黄色的。",[],[],"拉布拉多猎犬的毛色由B和E两种基因决定。等位基因B和b编码黑色或棕色毛发的黑色素含量。显性等位基因B编码黑色毛发，隐性等位基因b编码棕色毛发。第二个由E或e两种等位基因组成的基因编码毛发中颜色素的沉积。在这种情况下，颜色素沉积等位基因（E或e）被认为是编码黑色或棕色颜色素的基因所压制。如果未出现显性等位基因E，则无论黑/棕位点的基因型如何，动物的毛发都将呈黄色。
(A): BBEe将会是棕色的。
(B): BbEe将会是棕色的。
(C): Bbee将会是棕色的。
(D): BBee将会是黄色的。","Two genes (B and E) determine coat color in Labrador retrievers. Alleles B and b code for how much melanin is present. The dominant allele B codes for black fur, the recessive allele b codes for brown hair. A second gene consisting of two alleles, E and e, codes for the deposition of pigment in the hair. In this case, the alleles for pigment deposition (E or e) are said to be epistatic to the gene that codes for black or brown pigment. If the dominant allele (E) is not present, regardless of the genotype at the black/brown locus, the animal's fur will be yellow.
(A): BBEe will be brown.
(B): BbEe will be brown.
(C): Bbee will be brown.
(D): BBee will be yellow.",D,"['拉布拉多', '猎犬', '的', '毛色', '由', 'B', '和', 'E', '两种', '基因', '决定', '。', '等位基因', 'B', '和', 'b', 'code', 'for', 'how', 'much', 'melanin', 'is', 'present', '。', '显性', '等位基因', 'B', 'codes', 'for', 'black', 'fur,', '隐性', '等位基因', 'b', 'codes', 'for', 'brown', 'hair', '。', '第二个', '由', 'E', '或', 'e', '两种', '等位基因', '组成', '的', '基因', 'codes', 'for', 'the', 'deposition', 'of', 'pigment', 'in', 'the', 'hair', '。', '在', '这种', '情况', '下', '，', '颜色', '素', '沉积', '等位基因', '（', 'E', '或', 'e', '）', '被', '认为', '是', 'epistatic', 'to', 'the', 'gene', 'that', 'codes', 'for', 'black', 'or', 'brown', 'pigment', '。', '如果', '未', '出现', '显性', '等位基因', 'E', '，', '则', '无论', '黑', '/', '棕', '位点', '的', '基因型', '如何', '，', '动物', '的', '毛发', '都', '将', '是', '黄色', '。', 'BBEe', 'will', 'be', '棕色', '的', '。', 'BbEe', 'will', 'be', '棕色', '的', '。', 'Bbee', 'will', 'be', '棕色', '的', '。', 'BBee', 'will', 'be', '黄色', '的', '。']","['chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'other', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi', 'chi', 'eng', 'chi', 'chi', 'chi', 'chi']"
