,id,cmi,m_index,i_index,similarity_between_L1_and_L1-L2,similarity_between_L2_and_L1-L2,similarity_between_L1_and_L2,coherence,naturalness,readability,L1-L2,lang1_replaced_parts,lang2_replaced_parts,L1,L2,answer,tokens,lids
0,marketing/test/55,20.83,0.49,0.36,0.99,0.97,0.96,3,3,2,"__________ என்பது போல் சிறந்த பிரிவுகளின் படிப்பு குழாயில், மற்ற மீடியாகளின் பொருளாதரத்தில் இருக்கும் அறிவிப்பாக்கம் செய்து தருகின்றது. 
(A): Digital தொடர்புள்ளது.
(B): Print க்காக.
(C): Broadcast க்காக.
(D): Outdoor புறம் காணக்கூடியது.",[],[],"________ என்பது போல் சிறந்த பிரிவுகளின் படிப்பு குழாயில், மற்ற மீடியாகளின் பொருளாதரத்தில் இருக்கும் அறிவிப்பாக்கம் செய்து தருகின்றது. 
(A): கணினியில் தொடர்புள்ளது.
(B): அச்சுக்காக.
(C): ஒளிபரப்புக்காக.
(D): வெளியே புறம் காணக்கூடியது.","____________ is very effective at delivering messages to target audiences as it allows for explanation in a way that most other media cannot.
(A): Digital.
(B): Print.
(C): Broadcast.
(D): Outdoor.",B,"['__________', 'என்பது', 'போல்', 'சிறந்த', 'பிரிவுகளின்', 'படிப்பு', 'குழாயில்', ',', 'மற்ற', 'மீடியாகளின்', 'பொருளாதரத்தில்', 'இருக்கும்', 'அறிவிப்பாக்கம்', 'செய்து', 'தருகின்றது', '.', 'Digital', 'தொடர்புள்ளது', '.', 'Print', 'க்காக', '.', 'Broadcast', 'க்காக', '.', 'Outdoor', 'புறம்', 'காணக்கூடியது', '.']","['eng', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'other', 'eng', 'tam', 'other', 'eng', 'tam', 'other', 'eng', 'tam', 'other', 'eng', 'tam', 'tam', 'other']"
1,high_school_psychology/test/403,47.83,1.0,0.14,0.98,0.99,0.96,3,2,2,"Research has shown a possible connection between the neurotransmitter acetylcholine மற்றும் பிரச்சனை நோய்களின் பக்க உள்ளது என்பது போதாது
(A): பார்கின்சன் நோய்
(B): அல்சைமர் நோய்
(C): Schizophrenia
(D): மெய்னியா",[],[],"ஆசைப்படும் தலைமைகளில் பிரசுரப்படும் அசெடில்கோலின் ஜீவகருதி மற்றும் பிரச்சனை நோய்களின் பக்க உள்ளது என்பது போதாது
(A): பார்கின்சன் நோய்
(B): அல்சைமர் நோய்
(C): சிஜோபிரெனியா
(D): மெய்னியா","Research has shown a possible connection between the neurotransmitter acetylcholine and which of the following mental disorders?
(A): Parkinson's disease
(B): Alzheimer's disease
(C): Schizophrenia
(D): Mania",B,"['Research', 'has', 'shown', 'a', 'possible', 'connection', 'between', 'the', 'neurotransmitter', 'acetylcholine', 'மற்றும்', 'பிரச்சனை', 'நோய்களின்', 'பக்க', 'உள்ளது', 'என்பது', 'போதாது', 'பார்கின்சன்', 'நோய்', 'அல்சைமர்', 'நோய்', 'Schizophrenia', 'மெய்னியா']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'eng', 'tam']"
2,human_aging/test/109,38.46,0.9,0.11,0.98,0.98,0.95,3,3,3,"கேரி தனக்கு போதுமான எண்களை அழைத்து டிக்கெடிலிருந்து ரூ.1000 வருமானம் வாங்கினார் என்று கேரி கூறினார். கேரி வலிமையான ____ locus of control கொண்டிருக்கின்றார்.
(A): External, powerful others
(B): Internal
(C): External, chance
(D): Secondary",[],[],"கேரி தனக்கு போதுமான எண்களை அழைத்து டிக்கெடிலிருந்து ரூ.1000 வருமானம் வாங்கினார் என்று கேரி கூறினார். கேரி வலிமையான ____ கண்ணிம மையத்தை கொண்டிருக்கின்றார்.
(A): வெளிப்புற வலிமையை கொண்டோம்பரி
(B): உள்ளமைச்சி
(C): வெளிப்புற சண்டை
(D): செயல்நிலைகளை தொடர்புகொள்ளின்ற","Gary says he won $1000 in the lottery because he really knows how to pick those numbers. Gary would be said to have a strong ____ locus of control
(A): External, powerful others
(B): Internal
(C): External, chance
(D): Secondary",B,"['கேரி', 'தனக்கு', 'போதுமான', 'எண்களை', 'அழைத்து', 'டிக்கெடிலிருந்து', 'ரூ', '.1000', 'வருமானம்', 'வாங்கினார்', 'என்று', 'கேரி', 'கூறினார்', '.', 'கேரி', 'வலிமையான', '____', 'locus', 'of', 'control', 'கொண்டிருக்கின்றார்', '.', 'External,', 'powerful', 'others', 'Internal', 'External,', 'chance', 'Secondary']","['tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'other', 'tam', 'tam', 'other', 'eng', 'eng', 'eng', 'tam', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']"
3,nutrition/test/108,48.57,1.0,0.26,0.98,0.99,0.95,3,3,3,"டைட்டரி ஃபாட்டி அமிலத்தின் பிளாஸ்மா எல்.டி.எல் கொளெஸ்டிரால் நிதிரத்திற்கு மிகப்பெரிய beneficial effect உள்ளன எப்படியானது?
(A): n-3 மற்றும் n-6 polyunsaturated fatty acids
(B): Saturated மற்றும் trans unsaturated fatty acids
(C): Monounsaturated fatty acids
(D): Both a மற்றும் c",[],[],"டைட்டரி ஃபாட்டி அமிலத்தின் பிளாஸ்மா எல்.டி.எல் கொளெஸ்டிரால் நிதிரத்திற்கு மிகப்பெரிய பயனராக உள்ளன எப்படியானது?
(A): என்-3 மற்றும் என்-6 பாலியுன்சரேட் ஃபாட்டிக் அமிலங்கள்
(B): சதுர மற்றும் டிரான்ஸ் உண்மையில்லாத ஃபாட்டிக் அமிலங்கள்
(C): ஒற்றை பாலியுன்சரேட் ஃபாட்டிக்கள்
(D): கடைசியாக ச மற்றும் எ இருவரும்","Of the classes of dietary fatty acids which have the most beneficial effect on plasma LDL cholesterol levels?

(A): n-3 and n-6 polyunsaturated fatty acids
(B): Saturated and trans unsaturated fatty acids
(C): Monounsaturated fatty acids
(D): Both a and c",D,"['டைட்டரி', 'ஃபாட்டி', 'அமிலத்தின்', 'பிளாஸ்மா', 'எல்', '.', 'டி', '.', 'எல்', 'கொளெஸ்டிரால்', 'நிதிரத்திற்கு', 'மிகப்பெரிய', 'beneficial', 'effect', 'உள்ளன', 'எப்படியானது?', 'n-3', 'மற்றும்', 'n-6', 'polyunsaturated', 'fatty', 'acids', 'Saturated', 'மற்றும்', 'trans', 'unsaturated', 'fatty', 'acids', 'Monounsaturated', 'fatty', 'acids', 'Both', 'a', 'மற்றும்', 'c']","['tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'eng', 'eng', 'tam', 'tam', 'eng', 'tam', 'eng', 'eng', 'eng', 'eng', 'eng', 'tam', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'tam', 'eng']"
4,machine_learning/test/67,44.12,0.97,0.36,0.97,0.99,0.95,3,3,2,"குறிப்பு 1 | Traditional machine learning results வழங்குகின்ற தொகுப்பு மற்றும் டெஸ்ட் செட் independent and identically distributed இருக்க வேண்டியது. குறிப்பு 2 | In 2017, COCO மாதிரிகள் were usually pretrained on ImageNet.
(A): உண்மையானது, True
(B): பொய், False
(C): உண்மை, False
(D): பொய், True",[],[],"குறிப்பு 1 | பரம்பரிய இயந்திர கற்றலின் முடிவுகள் வழங்குகின்ற தொகுப்பு மற்றும் டெஸ்ட் செட் தனிப்பட்ட மற்றும் வேறெடுக்கப்படாததாக இருக்க வேண்டியது. குறிப்பு 2 | 2017 இல், COCO மாதிரிகள் பொதுவாக ImageNet இல் முந்தியை தொடர்கின்றன.
(A): உண்மையானது, உண்மையானது
(B): பொய், பொய்
(C): உண்மை, பொய்
(D): பொய், உண்மை","Statement 1| Traditional machine learning results assume that the train and test sets are independent and identically distributed. Statement 2| In 2017, COCO models were usually pretrained on ImageNet.
(A): True, True
(B): False, False
(C): True, False
(D): False, True",A,"['குறிப்பு', '1', '|', 'Traditional', 'machine', 'learning', 'results', 'வழங்குகின்ற', 'தொகுப்பு', 'மற்றும்', 'டெஸ்ட்', 'செட்', 'independent', 'and', 'identically', 'distributed', 'இருக்க', 'வேண்டியது', '.', 'குறிப்பு', '2', '|', 'In', '2017,', 'COCO', 'மாதிரிகள்', 'were', 'usually', 'pretrained', 'on', 'ImageNet.', 'உண்மையானது', ',', 'True', 'பொய்', ',', 'False', 'உண்மை', ',', 'False', 'பொய்', ',', 'True']","['tam', 'other', 'other', 'eng', 'eng', 'eng', 'eng', 'tam', 'tam', 'tam', 'tam', 'tam', 'eng', 'eng', 'eng', 'eng', 'tam', 'tam', 'other', 'tam', 'other', 'other', 'eng', 'eng', 'tam', 'tam', 'eng', 'eng', 'eng', 'eng', 'eng', 'tam', 'other', 'eng', 'tam', 'other', 'eng', 'tam', 'other', 'eng', 'tam', 'other', 'eng']"
5,high_school_psychology/test/381,23.26,0.56,0.16,0.96,0.99,0.94,3,3,3,"பின்னர் எவருடைய வலு நேரிடுதலை மிகவும் உறுதியாக விவரிக்கின்றன?
(A): It occurs gradually as the நியூரான் reaches hyperpolarization.
(B): It has an all-or-none quality: it either happens, or it does not.
(C): Its strength diminishes as it travels along the சோமா.
(D): It occurs only in the post-synaptic நியூரான்.",[],[],"பின்னர் எவருடைய வலு நேரிடுதலை மிகவும் உறுதியாக விவரிக்கின்றன?
(A): அது நியூரான் ஹைப்பர்போலரிண்டும் அடையும் போது சட்டத்தினால் நடக்கும்.
(B): அது முழுமையான அல்லது எதையும் சந்திக்காமல் உண்டாகும் மதிப்பை கொண்டுள்ளது.
(C): அதன் வலை சீராகும் சக்தி சோமாவின் மேல் பயணிக்கும்போது குறைகின்றது.
(D): அது பின்ன-செயலியில் மட்டுமே நடக்கும்.","Which of the following most accurately describes the firing of a neuron?
(A): It occurs gradually as the neuron reaches hyperpolarization.
(B): It has an all-or-none quality: it either happens, or it does not.
(C): Its strength diminishes as it travels along the soma.
(D): It occurs only in the post-synaptic neuron.",B,"['பின்னர்', 'எவருடைய', 'வலு', 'நேரிடுதலை', 'மிகவும்', 'உறுதியாக', 'விவரிக்கின்றன?', 'It', 'occurs', 'gradually', 'as', 'the', 'நியூரான்', 'reaches', 'hyperpolarization.', 'It', 'has', 'an', 'all-or-none', 'quality', ':', 'it', 'either', 'happens,', 'or', 'it', 'does', 'not.', 'Its', 'strength', 'diminishes', 'as', 'it', 'travels', 'along', 'the', 'சோமா', '.', 'It', 'occurs', 'only', 'in', 'the', 'post-synaptic', 'நியூரான்', '.']","['tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'eng', 'eng', 'eng', 'eng', 'eng', 'tam', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'tam', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'tam', 'other']"
6,high_school_biology/test/71,27.12,0.65,0.18,0.96,1.0,0.95,3,3,2,"லப்ரடார் ரிட்ரீவர்ஸில் இரு மரங்கள் (B மற்றும் E) coat color நிர்ணயிக்கின்றன. Alleles B மற்றும் b code for how much melanin is present. The dominant allele B codes for black fur, the recessive allele b codes for brown hair. A second gene consisting of two alleles, E மற்றும் e, codes for the deposition of pigment in the hair. In this case, the alleles for pigment deposition (E அல்லது e) are said to be epistatic to the gene that codes for black or brown pigment. If the dominant allele (E) is not present, regardless of the genotype at the black/brown locus, the animal's fur will be yellow.
(A): BBEe பழுப்பத்தை வெளிப்படுத்தும்.
(B): BbEe பழுப்பத்தை வெளிப்படுத்தும்.
(C): Bbee பழுப்பத்தை வெளிப்படுத்தும்.
(D): BBee will be yellow.",[],[],"லப்ரடார் ரிட்ரீவர்ஸில் இரு மரங்கள் (B மற்றும் E) இருக்கின்றன. அலெல்கள் B மற்றும் b என்பன மெலனின் உள்ளீடுக்கு குறியாக மரக்கோப்பு செய்கின்றன. முன்னிருந்த அலெல் B கரும்பு முட்டையினைப் பயன்படுத்துகின்றது; பின்வரும் அலெல் b உள்ளிருக்கும் பழுப்பின்பட்ட முட்டையினை குறைக்கும். இரண்டாவது மரக்கோப்பு என்பது இரண்டு அலெல்களைக் கொண்டது, E மற்றும் e. இந்த நிலைகளில் பழுப்பு நிறத்தை அமைக்க மரக்கோப்பு என்று சொல்லப்படும் அலெல் (E அல்லது e) கருத்துக்கள் காணப்படுகின்றன. இந்த நிலைகளில், கருத்துக்கள் E அல்லது e (E என்றால் இல்லையெனில், கருத்துக்களின் பகுதிகளை ஒழிகப்படும்) கருத்துகள் கரும்பு அல்லது பழுப்பின்பட்ட முட்டைகளை குறிக்கின்றன. கருத்துக்களில் அதிகம் (E) காணப்படாதும், கருத்துக்களின் பகுதி B மற்றும் b புரோடினின் படிப்பினை கொண்டுள்ள முறையில் இருக்கும் போது, பால் மான் மண் நிறமாகும்.
(A): BBEe பழுப்பத்தை வெளிப்படுத்தும்.
(B): BbEe பழுப்பத்தை வெளிப்படுத்தும்.
(C): Bbee பழுப்பத்தை வெளிப்படுத்தும்.
(D): BBee மான் கரும்பு நிறமாகும்.","Two genes (B and E) determine coat color in Labrador retrievers. Alleles B and b code for how much melanin is present. The dominant allele B codes for black fur, the recessive allele b codes for brown hair. A second gene consisting of two alleles, E and e, codes for the deposition of pigment in the hair. In this case, the alleles for pigment deposition (E or e) are said to be epistatic to the gene that codes for black or brown pigment. If the dominant allele (E) is not present, regardless of the genotype at the black/brown locus, the animal's fur will be yellow.
(A): BBEe will be brown.
(B): BbEe will be brown.
(C): Bbee will be brown.
(D): BBee will be yellow.",D,"['லப்ரடார்', 'ரிட்ரீவர்ஸில்', 'இரு', 'மரங்கள்', '(', 'B', 'மற்றும்', 'E', ')', 'coat', 'color', 'நிர்ணயிக்கின்றன', '.', 'Alleles', 'B', 'மற்றும்', 'b', 'code', 'for', 'how', 'much', 'melanin', 'is', 'present.', 'The', 'dominant', 'allele', 'B', 'codes', 'for', 'black', 'fur,', 'the', 'recessive', 'allele', 'b', 'codes', 'for', 'brown', 'hair.', 'A', 'second', 'gene', 'consisting', 'of', 'two', 'alleles,', 'E', 'மற்றும்', 'e,', 'codes', 'for', 'the', 'deposition', 'of', 'pigment', 'in', 'the', 'hair.', 'In', 'this', 'case,', 'the', 'alleles', 'for', 'pigment', 'deposition', '(', 'E', 'அல்லது', 'e', ')', 'are', 'said', 'to', 'be', 'epistatic', 'to', 'the', 'gene', 'that', 'codes', 'for', 'black', 'or', 'brown', 'pigment.', 'If', 'the', 'dominant', 'allele', '(', 'E', ')', 'is', 'not', 'present,', 'regardless', 'of', 'the', 'genotype', 'at', 'the', 'black', '/', 'brown', 'locus,', 'the', ""animal's"", 'fur', 'will', 'be', 'yellow.', 'BBEe', 'பழுப்பத்தை', 'வெளிப்படுத்தும்', '.', 'BbEe', 'பழுப்பத்தை', 'வெளிப்படுத்தும்', '.', 'Bbee', 'பழுப்பத்தை', 'வெளிப்படுத்தும்', '.', 'BBee', 'will', 'be', 'yellow.']","['tam', 'tam', 'tam', 'tam', 'other', 'tam', 'tam', 'tam', 'other', 'eng', 'eng', 'other', 'other', 'eng', 'tam', 'tam', 'tam', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'tam', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'tam', 'eng', 'eng', 'eng', 'eng', 'tam', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'tam', 'tam', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'other', 'tam', 'tam', 'tam', 'other', 'eng', 'eng', 'eng', 'tam', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'other', 'tam', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'tam', 'eng', 'tam', 'tam', 'tam', 'other', 'tam', 'tam', 'tam', 'other', 'tam', 'tam', 'tam', 'other', 'tam', 'eng', 'tam', 'eng']"
7,prehistory/test/192,14.29,0.32,0.27,0.99,0.96,0.94,3,3,2,"மக்கள் நடத்தைகளை கண்டுபிடிக்கும் குறிப்புகளில் விருப்பப்றுவதற்கு காலாவதியில் குடிவைத்து குறிப்போம் செய்வதன் மூலம் மனிதர்களைப் பரிசோதிக்கும் பாடகர்கள் யார் என்று அறியப்படுகிறார்கள்:
(A): archaeologists?
(B): மானிடப்பாட்டாளர்கள்?
(C): linguists?
(D): paleoanthropologists?",[],[],"மக்கள் நடத்தைகளை கண்டுபிடிக்கும் குறிப்புகளில் விருப்பப்பெறுவதற்கு காலாவதியில் குடிவைத்து குறிப்போம் செய்வதன் மூலம் மனிதர்களைப் பரிசோதிக்கும் பாடகர்கள் யார் என்று அறியப்படுகிறார்கள்:
(A): சரயேகாலாகமியா?
(B): மானிடப்பாட்டாளர்கள்?
(C): மொழிவாடாளர்கள்?
(D): பழைய மனித மூவியானதியவியலியாளர்கள்?","Researchers who study humans by residing in particular societies and observing the behaviors of the people are known as:
(A): archaeologists.
(B): ethnographers.
(C): linguists.
(D): paleoanthropologists.",B,"['மக்கள்', 'நடத்தைகளை', 'கண்டுபிடிக்கும்', 'குறிப்புகளில்', 'விருப்பப்றுவதற்கு', 'காலாவதியில்', 'குடிவைத்து', 'குறிப்போம்', 'செய்வதன்', 'மூலம்', 'மனிதர்களைப்', 'பரிசோதிக்கும்', 'பாடகர்கள்', 'யார்', 'என்று', 'அறியப்படுகிறார்கள்:', 'archaeologists', '?', 'மானிடப்பாட்டாளர்கள்?', 'linguists', '?', 'paleoanthropologists', '?']","['tam', 'tam', 'tam', 'tam', 'other', 'tam', 'tam', 'other', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'eng', 'tam', 'tam', 'eng', 'tam', 'eng', 'tam']"
8,professional_psychology/test/309,44.83,0.98,0.15,0.98,0.98,0.94,2,2,2,"அடிப்படை புள்ளிவிவர அளவு ஒரு தரவு கணக்கில் இருக்கும் அடைவில் ஒரு கூட்டுத்தாக்கம் வழங்கும் மொத்த லவச்சுக்குப் பின் ஒரு வரிசையில் குறிப்பிடுகிற கவனிப்பு. இந்த விஷயத்தை பற்றிய உங்கள் அறிவுமுகம் என்ன, SKEWED DISTRIBUTION பற்றி?
(A): அது பெல்-shaped curve என்று பெயரிடப்படுகிறது
(B): அது symmetrical (half falls above the mean, half below)
(C): அதின் வரைபடங்கள் asymmetrical frequency distributions
(D): அது used most common with a large number of data points",[],[],"அடிப்படை புள்ளிவிவர அளவு ஒரு தரவு கணக்கில் இருக்கும் அடைவில் ஒரு கூட்டுத்தாக்கம் வழங்கும் மொத்த லவச்சுக்குப் பின் ஒரு வரிசையில் குறிப்பிடுகிற கவனிப்பு. இந்த விஷயத்தை பற்றிய உங்கள் அறிவுமுகம் என்ன?
(A): அது பெல்-வடிவம் என்று பெயரிடப்படுகிறது
(B): அது ஒருபோதும் சிம்மெட்ரியானதாக இருக்கும் (பெரும்பாலும் குறைவாகும்)
(C): அதின் வரைபடங்கள் ஒட்டுமையை தொடங்குகின்றன
(D): அது பெரிய தரவு புள்ளிவிவர கணக்குகளுடன் பெருகின்றது","The Frequency Distribution provides a summary of a set of data and indicates the number of cases that fall at a given score within a given range. From your knowledge about this topic, which statement out of the following ones is about the SKEWED DISTRIBUTION?
(A): It is commonly called the bell-shaped curve
(B): It is symmetrical (half falls above the mean, half below)
(C): It has asymmetrical frequency distributions
(D): It is used most common with a large number of data points",C,"['அடிப்படை', 'புள்ளிவிவர', 'அளவு', 'ஒரு', 'தரவு', 'கணக்கில்', 'இருக்கும்', 'அடைவில்', 'ஒரு', 'கூட்டுத்தாக்கம்', 'வழங்கும்', 'மொத்த', 'லவச்சுக்குப்', 'பின்', 'ஒரு', 'வரிசையில்', 'குறிப்பிடுகிற', 'கவனிப்பு', '.', 'இந்த', 'விஷயத்தை', 'பற்றிய', 'உங்கள்', 'அறிவுமுகம்', 'என்ன', ',', 'SKEWED', 'DISTRIBUTION', 'பற்றி?', 'அது', 'பெல்', '-shaped', 'curve', 'என்று', 'பெயரிடப்படுகிறது', 'அது', 'symmetrical', '(', 'half', 'falls', 'above', 'the', 'mean,', 'half', 'below', ')', 'அதின்', 'வரைபடங்கள்', 'asymmetrical', 'frequency', 'distributions', 'அது', 'used', 'most', 'common', 'with', 'a', 'large', 'number', 'of', 'data', 'points']","['tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'other', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'eng', 'eng', 'eng', 'other', 'tam', 'tam', 'eng', 'eng', 'tam', 'tam', 'tam', 'eng', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'other', 'tam', 'tam', 'eng', 'eng', 'eng', 'tam', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']"
9,machine_learning/test/77,38.89,0.91,0.18,0.98,0.98,0.94,3,2,2,"அறிவிப்பு 1| The SVM learning algorithm is guaranteed to find the globally optimal hypothesis with respect to its object function. அறிவிப்பு 2| ஒரு புரட்சி மூல புலம் மூலம் ஒரு பரிசோதனை எடுக்கப்பட்ட பின்னர், ஒரு பரிமாண நிரலில் பயன்படுத்தப்படுகின்றன, அது தன் மூல பரிமாணத்திற்கு வரை நன்றாக நிரல் மேம்படுத்த உதவலாம் (இதனை எப்படியும் உறுதிப்படுத்த முடியாது).
(A): மெய், True
(B): பொய், False
(C): மெய், False
(D): பொய், True",[],[],"அறிவிப்பு 1| SVM கற்றல் முறையின் பொருள் செயல்பாட்டுக்கு உரிய பிரபல கருத்துக்களை கண்டறிய உதவும் நிலையியல் செயற்பாடுகளுடன் உறுதிப்படுத்தப்பட்டுள்ளது. அறிவிப்பு 2| ஒரு புரட்சி மூல புலம் மூலம் ஒரு பரிசோதனை எடுக்கப்பட்ட பின்னர், ஒரு பரிமாண நிரலில் பயன்படுத்தப்படுகின்றன, அது தன் மூல பரிமாணத்திற்கு வரை நன்றாக நிரல் மேம்படுத்த உதவலாம் (இதனை எப்படியும் உறுதிப்படுத்த முடியாது).
(A): மெய், மெய்
(B): பொய், பொய்
(C): மெய், பொய்
(D): பொய், மெய்","Statement 1| The SVM learning algorithm is guaranteed to find the globally optimal hypothesis with respect to its object function. Statement 2| After being mapped into feature space Q through a radial basis kernel function, a Perceptron may be able to achieve better classification performance than in its original space (though we can’t guarantee this).
(A): True, True
(B): False, False
(C): True, False
(D): False, True",A,"['அறிவிப்பு', '1|', 'The', 'SVM', 'learning', 'algorithm', 'is', 'guaranteed', 'to', 'find', 'the', 'globally', 'optimal', 'hypothesis', 'with', 'respect', 'to', 'its', 'object', 'function.', 'அறிவிப்பு', '2|', 'ஒரு', 'புரட்சி', 'மூல', 'புலம்', 'மூலம்', 'ஒரு', 'பரிசோதனை', 'எடுக்கப்பட்ட', 'பின்னர்', ',', 'ஒரு', 'பரிமாண', 'நிரலில்', 'பயன்படுத்தப்படுகின்றன', ',', 'அது', 'தன்', 'மூல', 'பரிமாணத்திற்கு', 'வரை', 'நன்றாக', 'நிரல்', 'மேம்படுத்த', 'உதவலாம்', '(இதனை', 'எப்படியும்', 'உறுதிப்படுத்த', 'முடியாது)', '.', 'மெய்', ',', 'True', 'பொய்', ',', 'False', 'மெய்', ',', 'False', 'பொய்', ',', 'True']","['tam', 'other', 'eng', 'tam', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'tam', 'other', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'other', 'tam', 'tam', 'tam', 'tam', 'other', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'tam', 'other', 'tam', 'other', 'eng', 'tam', 'other', 'eng', 'tam', 'other', 'eng', 'tam', 'other', 'eng']"
